날짜,시가,고가,저가,종가,거래량,등락률
2020-12-01,133448,133448,129310,130690,58603,-1.0441511634070069
2020-12-02,131379,131379,126896,127586,60453,-2.3750860815670674
2020-12-03,129655,130344,127931,129310,47817,1.3512454344520557
2020-12-04,129310,129310,124482,125517,66632,-2.933261155363081
2020-12-07,125517,125517,120344,124483,64196,-0.8237927930081185
2020-12-08,127586,129655,121724,121724,88147,-2.2163668934713976
2020-12-09,122758,124827,120344,121724,58419,0.0
2020-12-10,121724,123448,118965,121724,43802,0.0
2020-12-11,122068,122413,119310,120345,31214,-1.132890802142552
2020-12-14,120000,120689,118620,118966,26877,-1.1458722838505961
2020-12-15,117931,118275,114827,116552,39278,-2.0291511860531584
2020-12-16,116551,123793,116551,120000,43219,2.9583361932871166
2020-12-17,121034,121034,119310,119310,18419,-0.575
2020-12-18,120689,127586,118620,121034,97895,1.4449752744950128
2020-12-21,124827,126206,122068,126207,57465,4.274005651304592
2020-12-22,125172,125517,120344,120690,44563,-4.371389859516508
2020-12-23,121034,122068,117931,118621,37294,-1.7143093876874638
2020-12-24,117931,119655,115517,119310,38235,0.5808415036123452
2020-12-28,122413,126206,115172,116207,92990,-2.6007878635487387
2020-12-29,121379,123448,116896,122414,75406,5.341330556679029
2020-12-30,120344,121379,117931,120000,73941,-1.9719966670478866
