Date,CP0000EZ19M086NEST
2023-01-01,120.27
2023-02-01,121.24
2023-03-01,122.34
2023-04-01,123.11
2023-05-01,123.14
2023-06-01,123.45
2023-07-01,123.32
2023-08-01,124.0
2023-09-01,124.4
2023-10-01,124.51
2023-11-01,123.82
2023-12-01,124.02
