날짜,시가,고가,저가,종가,거래량,등락률
2024-10-02,4510,4510,4440,4500,42060,-0.9900990099009901
2024-10-04,4475,4515,4440,4500,22794,0.0
2024-10-07,4500,4500,4445,4500,25624,0.0
2024-10-08,4500,4500,4450,4495,13249,-0.1111111111111111
2024-10-10,4480,4525,4480,4515,17881,0.44493882091212456
2024-10-11,4520,4555,4495,4530,17044,0.33222591362126247
2024-10-14,4560,4580,4490,4550,60047,0.44150110375275936
2024-10-15,4600,4600,4525,4590,25816,0.8791208791208791
2024-10-16,4575,4595,4540,4595,18295,0.10893246187363835
2024-10-17,4600,4605,4550,4565,23938,-0.6528835690968444
2024-10-18,4565,4585,4505,4570,32412,0.10952902519167579
2024-10-21,4520,4570,4520,4555,23726,-0.3282275711159737
2024-10-22,4555,4570,4470,4530,44993,-0.5488474204171241
2024-10-23,4480,4530,4445,4500,45273,-0.6622516556291391
2024-10-24,4455,4515,4405,4475,49352,-0.5555555555555556
2024-10-25,4430,4510,4355,4470,54925,-0.11173184357541899
2024-10-28,4470,4490,4395,4460,79289,-0.22371364653243847
2024-10-29,4420,4455,4400,4445,37187,-0.336322869955157
2024-10-30,4440,4475,4395,4450,38758,0.11248593925759282
2024-10-31,4405,4450,4395,4450,12529,0.0
