BPS,PER,PBR,EPS,DIV,DPS
50817,8.8,1.4,8057,2.04,1444
50817,8.96,1.42,8057,2.0,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.81,1.4,8057,2.03,1444
50817,8.8,1.4,8057,2.04,1444
50817,8.94,1.42,8057,2.01,1444
50817,8.81,1.4,8057,2.03,1444
50817,8.94,1.42,8057,2.01,1444
50817,8.92,1.41,8057,2.01,1444
50817,8.87,1.41,8057,2.02,1444
50817,8.91,1.41,8057,2.01,1444
50817,8.84,1.4,8057,2.03,1444
50817,8.86,1.41,8057,2.02,1444
50817,8.75,1.39,8057,2.05,1444
50817,8.85,1.4,8057,2.03,1444
50817,8.89,1.41,8057,2.02,1444
50817,8.99,1.42,8057,1.99,1444
50817,9.01,1.43,8057,1.99,1444
50817,9.02,1.43,8057,1.99,1444
50817,8.99,1.42,8057,1.99,1444
50817,8.96,1.42,8057,2.0,1444
