rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 2 기 반기말,564505111078,제 1 기말,438322896156,1,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 반기말,159095087510,제 1 기말,79257821592,2,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 2 기 반기말,217146777079,제 1 기말,184669279665,3,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 2 기 반기말,19683790958,제 1 기말,3015347825,4,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 2 기 반기말,46417192325,제 1 기말,46085921955,5,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_Inventories,재고자산,-,제 2 기 반기말,122162263206,제 1 기말,125294525119,6,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 2 기 반기말,1343389552147,제 1 기말,1214926483116,7,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 2 기 반기말,4865839302,제 1 기말,4710258452,8,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 2 기 반기말,1241745991163,제 1 기말,1117555202137,9,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 2 기 반기말,74175725063,제 1 기말,74144821677,10,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업투자,-,제 2 기 반기말,8460587123,제 1 기말,6691571371,11,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 2 기 반기말,8777047783,제 1 기말,2648654952,12,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 2 기 반기말,90169268,제 1 기말,877899278,13,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 2 기 반기말,5274192445,제 1 기말,8298075249,14,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_Assets,자산총계,-,제 2 기 반기말,1907894663225,제 1 기말,1653249379272,15,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 2 기 반기말,638542833925,제 1 기말,685979239465,17,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 2 기 반기말,274209354688,제 1 기말,275675409413,18,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_ShorttermBorrowings,차입금,-,제 2 기 반기말,352005062193,제 1 기말,399745562796,19,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 2 기 반기말,10131453029,제 1 기말,6388339437,20,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 2 기 반기말,2196964015,제 1 기말,4169927819,21,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 2 기 반기말,855935130964,제 1 기말,600021899137,22,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타채무,-,제 2 기 반기말,12255662834,제 1 기말,12054878779,23,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 2 기 반기말,828008208880,제 1 기말,582939999868,24,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 2 기 반기말,4182110825,제 1 기말,1510207937,25,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 2 기 반기말,3492086481,제 1 기말,1652556809,26,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 2 기 반기말,7997061944,제 1 기말,1864255744,27,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 2 기 반기말,1494477964889,제 1 기말,1286001138602,28,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 2 기 반기말,413416698336,제 1 기말,367248240670,30,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 2 기 반기말,15950630000,제 1 기말,15950630000,31,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 2 기 반기말,327697938702,제 1 기말,327697938702,32,KRW,,연결,,,
20190814002618,11012,2019,01316236,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 2 기 반기말,57192990526,제 1 기말,18284191681,33,KRW,,연결,,,
