날짜,시가,고가,저가,종가,거래량,등락률
2020-10-05,25587,26603,24475,25201,95722,-1.6968325791855203
2020-10-06,23314,25635,22636,23121,149204,-8.253640728542518
2020-10-07,23604,25442,23265,24282,180615,5.021409108602569
2020-10-08,24765,25152,24233,24427,84349,0.5971501523762458
2020-10-12,25055,25732,24426,24814,103161,1.5843124411511853
2020-10-13,25152,25490,24523,25249,67705,1.7530426372209238
2020-10-14,25152,25490,23894,23991,51802,-4.982375539625332
2020-10-15,24039,25152,24039,24668,52770,2.8218915426618314
2020-10-16,24329,24958,24039,24185,38439,-1.9580022701475595
2020-10-19,24620,24620,23217,23895,16492,-1.1990903452553234
2020-10-20,23991,24281,22975,23459,15340,-1.8246495082653276
2020-10-21,23410,23894,22975,23314,17592,-0.6180996632422524
2020-10-22,23314,23410,22975,23072,8797,-1.0380029167024105
2020-10-23,23072,23217,22250,22540,12945,-2.3058252427184467
2020-10-26,21572,22685,21282,22250,19576,-1.2866015971606033
2020-10-27,22250,27500,22250,22950,326580,3.146067415730337
2020-10-28,23000,24400,22950,23750,35467,3.485838779956427
2020-10-29,23050,23400,22500,23250,26070,-2.1052631578947367
2020-10-30,23300,23750,22700,22900,12853,-1.5053763440860215
