날짜,시가,고가,저가,종가,거래량,등락률
2024-02-01,29550,30200,28000,28400,10877,1.4285714285714286
2024-02-02,28350,28850,28000,28800,1874,1.4084507042253522
2024-02-05,29000,29000,28200,28300,1087,-1.7361111111111112
2024-02-06,28350,28400,27950,28400,1723,0.35335689045936397
2024-02-07,28100,28800,28000,28400,1694,0.0
2024-02-08,28400,28450,27950,28400,3484,0.0
2024-02-13,28750,31600,28250,28500,17485,0.35211267605633806
2024-02-14,28550,28700,27350,28100,5821,-1.4035087719298245
2024-02-15,28100,28100,27500,27900,2285,-0.7117437722419928
2024-02-16,28300,28400,27900,28350,1831,1.6129032258064515
2024-02-19,28100,28650,28100,28250,4282,-0.3527336860670194
2024-02-20,28400,28400,27500,28050,1750,-0.7079646017699115
2024-02-21,27850,28150,27700,27850,2915,-0.7130124777183601
2024-02-22,27900,27950,27100,27800,2219,-0.17953321364452424
2024-02-23,27850,27850,27600,27700,694,-0.3597122302158274
2024-02-26,27600,28300,27500,27900,3717,0.7220216606498195
2024-02-27,27550,28300,27550,28100,3049,0.7168458781362007
2024-02-28,27750,28400,27750,27900,2351,-0.7117437722419928
2024-02-29,27900,27900,26950,27600,3969,-1.0752688172043012
