BPS,PER,PBR,EPS,DIV,DPS
43611,10.52,1.39,5777,2.38,1444
43611,10.47,1.39,5777,2.39,1444
43611,10.65,1.41,5777,2.35,1444
43611,10.51,1.39,5777,2.38,1444
43611,10.44,1.38,5777,2.39,1444
43611,10.4,1.38,5777,2.4,1444
43611,10.3,1.36,5777,2.43,1444
43611,10.39,1.38,5777,2.41,1444
43611,10.21,1.35,5777,2.45,1444
43611,10.35,1.37,5777,2.41,1444
43611,10.37,1.37,5777,2.41,1444
43611,10.61,1.41,5777,2.36,1444
43611,10.42,1.38,5777,2.4,1444
43611,10.44,1.38,5777,2.39,1444
43611,10.58,1.4,5777,2.36,1444
43611,10.78,1.43,5777,2.32,1444
43611,10.91,1.44,5777,2.29,1444
43611,10.75,1.42,5777,2.33,1444
43611,10.89,1.44,5777,2.3,1444
43611,10.85,1.44,5777,2.3,1444
43611,10.94,1.45,5777,2.28,1444
43611,11.08,1.47,5777,2.26,1444
