날짜,시가,고가,저가,종가,거래량,등락률
2024-12-02,7050,7080,6990,7010,1869,0.14285714285714285
2024-12-03,7090,7150,6830,7150,2813,1.9971469329529243
2024-12-04,7150,7150,7000,7100,1134,-0.6993006993006993
2024-12-05,7150,7180,7150,7150,73,0.7042253521126761
2024-12-06,7180,7180,6910,6990,1701,-2.237762237762238
2024-12-09,7190,7190,6800,6820,1262,-2.432045779685265
2024-12-10,6990,7040,6760,7040,601,3.225806451612903
2024-12-11,7190,7250,7110,7110,1482,0.9943181818181818
2024-12-12,7250,7290,6990,7210,530,1.4064697609001406
2024-12-13,7320,7320,7010,7270,389,0.8321775312066574
2024-12-16,7290,7290,7100,7260,30,-0.1375515818431912
2024-12-17,7250,7250,7020,7190,2249,-0.9641873278236914
2024-12-18,7240,7240,7040,7040,415,-2.086230876216968
2024-12-19,7240,7240,7040,7160,130,1.7045454545454544
2024-12-20,7280,7300,7160,7300,252,1.9553072625698324
2024-12-23,7080,7230,7080,7230,1006,-0.9589041095890412
2024-12-24,7290,7330,7290,7290,2023,0.8298755186721992
2024-12-26,7330,7330,7040,7050,3474,-3.292181069958848
2024-12-27,7090,7090,6900,7060,545,0.14184397163120568
2024-12-30,7190,7190,7050,7060,2020,0.0
