,시가,고가,저가,종가,거래량,거래대금,상장시가총액,날짜,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,1667.29,1674.73,1650.98,1652.22,3000188,174039206280,21670084816930,2017-01-02,,,,,,,
1,1669.89,1672.08,1643.94,1647.29,3853955,174718254540,21666783916500,2017-01-03,,,,,,,
2,1658.18,1676.2,1652.75,1676.17,8777257,210342394130,22085432667400,2017-01-04,,,,,,,
3,1679.31,1712.8,1678.31,1698.64,5715565,180413021200,22359141192930,2017-01-05,,,,,,,
4,1696.93,1697.95,1673.56,1675.66,4088291,118408156050,22076816814200,2017-01-06,,,,,,,
5,1677.66,1678.43,1635.76,1636.48,4210005,136388961330,21572872777500,2017-01-09,,,,,,,
6,1636.91,1653.31,1622.06,1635.1,3981295,122191711840,21546941202150,2017-01-10,,,,,,,
7,1636.35,1645.01,1629.2,1633.72,2838573,106477348320,21563827042250,2017-01-11,,,,,,,
8,1627.41,1627.93,1599.29,1606.43,4694994,141678780900,21172767098170,2017-01-12,,,,,,,
9,1608.55,1656.7,1608.55,1637.17,3704749,158134388980,21625502188810,2017-01-13,,,,,,,
10,1650.25,1650.32,1620.51,1637.27,2747119,91364403190,21649306262450,2017-01-16,,,,,,,
11,1644.19,1646.5,1626.03,1626.67,2694627,82952377290,21534912795370,2017-01-17,,,,,,,
12,1625.08,1640.5,1620.99,1626.66,2256133,67781744720,21548972466100,2017-01-18,,,,,,,
13,1630.77,1631.48,1605.71,1605.71,3456172,87203117300,21263280951350,2017-01-19,,,,,,,
14,1603.78,1641.21,1600.47,1617.7,3231559,114735853160,21483585703390,2017-01-20,,40.79275111544016,,,,,
15,1621.25,1622.75,1588.78,1588.78,3482681,81119970740,21212658128460,2017-01-23,,33.149129782110194,,,,,
16,1587.77,1588.91,1560.95,1565.25,3127719,97551884200,20913170951360,2017-01-24,,28.474191408684153,,,,,
17,1566.93,1576.27,1519.56,1519.91,3235674,119926652660,20297251613010,2017-01-25,,22.02777147997443,,,,,
18,1527.25,1530.08,1502.29,1519.31,2493891,88181771810,20314252782900,2017-01-26,,21.956929089110588,,,,,
19,1519.11,1534.98,1503.15,1505.49,3161280,112804111800,20063192211430,2017-01-31,1615.5815,20.33473560214214,1512.7861469386871,1615.5815,1718.3768530613129,12.725492717181137,-0.035488700225268385
20,1517.96,1547.96,1512.17,1547.96,3528345,139631972451,20686758432080,2017-02-01,1610.3685,35.98644864958906,1504.9918391542512,1610.3685,1715.7451608457488,13.087272986990097,0.2038789258498423
