rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount
20220331000007,11011,2021,00173740,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 54 기,25748307292,제 53 기,24265069216,1,KRW,,연결,,,,제 52 기,31403823025
20220331000007,11011,2021,00173740,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 54 기,899385621,제 53 기,565485520,2,KRW,,연결,,,,제 52 기,1200461760
20220331000007,11011,2021,00173740,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 54 기,4345424158,제 53 기,4353749135,3,KRW,,연결,,,,제 52 기,4370757197
20220331000007,11011,2021,00173740,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 54 기,306105658,제 53 기,361105559,4,KRW,,연결,,,,제 52 기,479148597
20220331000007,11011,2021,00173740,BS,재무상태표,dart_ShortTermOtherReceivables,기타채권,-,제 54 기,119687509,제 53 기,74995061,5,KRW,,연결,,,,제 52 기,344526483
20220331000007,11011,2021,00173740,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 54 기,324699826,제 53 기,390029201,6,KRW,,연결,,,,제 52 기,384231648
20220331000007,11011,2021,00173740,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 54 기,3000840,제 53 기,25519200,7,KRW,,연결,,,,제 52 기,211840
20220331000007,11011,2021,00173740,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 54 기,19750003680,제 53 기,18494185540,8,KRW,,연결,,,,제 52 기,24624485500
20220331000007,11011,2021,00173740,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 54 기,72001470000,제 53 기,89485786258,9,KRW,,연결,,,,제 52 기,81355864895
20220331000007,11011,2021,00173740,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 54 기,3504500000,제 53 기,3004500000,10,KRW,,연결,,,,제 52 기,4500000
20220331000007,11011,2021,00173740,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익-공정가치측정금융자산,-,제 54 기,1228706000,제 53 기,1743429000,11,KRW,,연결,,,,제 52 기,8719939000
20220331000007,11011,2021,00173740,BS,재무상태표,dart_LongTermTradeReceivablesGross,장기매출채권,-,제 54 기,53037431556,제 53 기,53037431556,13,KRW,,연결,,,,제 52 기,46366352672
20220331000007,11011,2021,00173740,BS,재무상태표,dart_LongTermOtherReceivablesGross,장기기타채권,-,제 54 기,19375000,제 53 기,9287868619,14,KRW,,연결,,,,제 52 기,2512635293
