Date,IR3TIB01CNM156N
2021-01-01,3.01
2021-02-01,3.25
2021-03-01,3.07
2021-04-01,2.82
2021-05-01,2.84
2021-06-01,2.93
2021-07-01,2.82
2021-08-01,2.86
2021-09-01,2.77
2021-10-01,2.72
2021-11-01,2.94
2021-12-01,3.08
