rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 74 기,48156421369,제 73 기,54670129043,1,KRW,,,,,연결,제 72 기,80023071175
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 74 기,11336947237,제 73 기,14788023750,2,KRW,,,,,연결,제 72 기,7742389843
20240315000810,11011,2022,00145686,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 74 기,11226793812,제 73 기,13250928376,3,KRW,,,,,연결,제 72 기,7645397453
20240315000810,11011,2022,00145686,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 74 기,13688786950,제 73 기,14026825058,4,KRW,,,,,연결,제 72 기,14162726344
20240315000810,11011,2022,00145686,BS,재무상태표,-표준계정코드 미사용-,기타수취채권,-,제 74 기,204801460,제 73 기,189282472,5,KRW,,,,,연결,제 72 기,773863305
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 74 기,11142472662,제 73 기,11287908651,6,KRW,,,,,연결,제 72 기,9872880543
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 74 기,213531076,제 73 기,632180,7,KRW,,,,,연결,제 72 기,11680070
20240315000810,11011,2022,00145686,BS,재무상태표,-표준계정코드 미사용-,기타자산,-,제 74 기,343088172,제 73 기,1126528556,8,KRW,,,,,연결,제 72 기,501020639
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 74 기,0,제 73 기,0,9,KRW,,,,,연결,제 72 기,39313112978
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 74 기,220060825090,제 73 기,220019769292,10,KRW,,,,,연결,제 72 기,194834305656
20240315000810,11011,2022,00145686,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 74 기,13000000,제 73 기,13000000,11,KRW,,,,,연결,제 72 기,13000000
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,-,제 74 기,39600000,제 73 기,39600000,12,KRW,,,,,연결,제 72 기,39600000
20240315000810,11011,2022,00145686,BS,재무상태표,-표준계정코드 미사용-,기타수취채권,-,제 74 기,17938431,제 73 기,19301231,13,KRW,,,,,연결,제 72 기,16325631
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 74 기,18165235807,제 73 기,7111025003,14,KRW,,,,,연결,제 72 기,6936583240
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 74 기,1315939721,제 73 기,1316251037,15,KRW,,,,,연결,제 72 기,1314927907
20240315000810,11011,2022,00145686,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 74 기,197284570318,제 73 기,209437255505,16,KRW,,,,,연결,제 72 기,186513868878
20240315000810,11011,2022,00145686,BS,재무상태표,dart_InvestedAssetForPostemploymentBenefit,확정급여자산,-,제 74 기,2378359046,제 73 기,1291352266,17,KRW,,,,,연결,제 72 기,0
