rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_nm,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 52 기 1분기말,7127772998320,제 51 기말,7032322131682,7,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 52 기 1분기말,1872116229659,제 51 기말,2081259893738,8,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_ShortTermAccruedIncome,미수수익,-,제 52 기 1분기말,2445545442,제 51 기말,1265085659,9,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_ShortTermDepositsProvided,보증금,-,제 52 기 1분기말,5102771298,제 51 기말,4660292818,10,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_ShortTermLoans,단기대여금,-,제 52 기 1분기말,6024455802,제 51 기말,976070146,11,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_ShortTermOtherReceivables,미수금,-,제 52 기 1분기말,41001779006,제 51 기말,14795401059,12,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,-표준계정코드 미사용-,단기투자증권,-,제 52 기 1분기말,20438113543,제 51 기말,22850769448,13,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 52 기 1분기말,903923102417,제 51 기말,531046016471,14,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialAssets,파생금융상품자산,-,제 52 기 1분기말,8120533903,제 51 기말,6036282704,15,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CurrentFinanceLeaseReceivables,금융리스채권,-,제 52 기 1분기말,10344826,제 51 기말,62673671,16,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 52 기 1분기말,1923958901,제 51 기말,4171340349,17,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 52 기 1분기말,267402500972,제 51 기말,162451481898,18,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 52 기 1분기말,275521716776,제 51 기말,332902731126,19,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 52 기 1분기말,123864428730,제 51 기말,903847763426,20,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타자산,-,제 52 기 1분기말,69952418043,제 51 기말,66746984963,21,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 52 기 1분기말,146384560000,제 51 기말,29447000000,22,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 52 기 1분기말,5255656768661,제 51 기말,4951062237944,23,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_GoodwillGross,영업권,-,제 52 기 1분기말,955491654141,제 51 기말,955491654461,24,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 52 기 1분기말,25000000,제 51 기말,27500000,25,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_LongTermDepositsProvidedGross,보증금,-,제 52 기 1분기말,12572000964,제 51 기말,13438128038,26,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_LongTermLoansGross,장기대여금,-,제 52 기 1분기말,2119241750,제 51 기말,2050457000,27,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,dart_LongTermOtherReceivablesGross,장기미수금,-,제 52 기 1분기말,58297731,제 51 기말,100000000,28,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,-표준계정코드 미사용-,장기투자증권,-,제 52 기 1분기말,46511409411,제 51 기말,46255573779,29,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 52 기 1분기말,103192759502,제 51 기말,90026092372,30,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 52 기 1분기말,716142200882,제 51 기말,715383823985,31,KRW,제 50 기,613816415000,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 52 기 1분기말,58947335749,제 51 기말,68484446725,32,KRW,제 50 기,747026000,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자,-,제 52 기 1분기말,248658825406,제 51 기말,247218712696,33,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_InvestmentsInJointVentures,공동기업투자,-,제 52 기 1분기말,1430208886,제 51 기말,1369254038,34,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_NoncurrentDerivativeFinancialAssets,파생금융상품자산,-,제 52 기 1분기말,13426474317,제 51 기말,12141742309,35,KRW,,,,,,,연결
20240516001799,11013,2024,00139889,BS,재무상태표,ifrs-full_OtherNoncurrentAssets,기타자산,-,제 52 기 1분기말,74905310127,제 51 기말,60169417551,36,KRW,,,,,,,연결
