rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 55 기 1분기말,191386164002,제 54 기말,199916289283,7,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 55 기 1분기말,46915299894,제 54 기말,61503210872,8,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 55 기 1분기말,10320156912,제 54 기말,8698768907,9,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 55 기 1분기말,12959376969,제 54 기말,31885070620,10,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치 측정 금융자산,-,제 55 기 1분기말,10234913769,제 54 기말,10128930557,11,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 55 기 1분기말,11022037448,제 54 기말,9231971230,12,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타자산,-,제 55 기 1분기말,430548315,제 54 기말,137300607,13,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 55 기 1분기말,174000000,제 54 기말,156000000,14,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,-,제 55 기 1분기말,1774266481,제 54 기말,1265168951,15,KRW,,,,,연결
20240508000438,11013,2024,00141404,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 55 기 1분기말,144470864108,제 54 기말,138413078411,16,KRW,,,,,연결
