날짜,시가,고가,저가,종가,거래량,등락률
2020-08-03,2205,2210,2105,2115,1905221,-3.8636363636363633
2020-08-04,2115,2155,2040,2050,1625224,-3.0732860520094563
2020-08-05,2060,2100,2025,2050,782780,0.0
2020-08-06,2060,2075,1990,2040,1067640,-0.4878048780487805
2020-08-07,2045,2220,2015,2070,4198374,1.4705882352941175
2020-08-10,2050,2125,2020,2095,1095356,1.2077294685990339
2020-08-11,2100,2195,2095,2140,2212247,2.1479713603818613
2020-08-12,2350,2370,2120,2185,5873798,2.102803738317757
2020-08-13,2200,2210,2130,2185,1389480,0.0
2020-08-14,2185,2190,2060,2100,1432338,-3.8901601830663615
2020-08-18,2045,2075,1785,1835,2024465,-12.619047619047619
2020-08-19,1835,1900,1720,1780,3618854,-2.997275204359673
2020-08-20,1770,1800,1620,1675,2171667,-5.8988764044943816
2020-08-21,1680,1735,1620,1690,1703438,0.8955223880597015
2020-08-24,1685,1745,1650,1745,1184700,3.2544378698224854
2020-08-25,1755,1790,1740,1760,1518177,0.8595988538681949
2020-08-26,1765,1775,1725,1760,1143867,0.0
2020-08-27,1770,1775,1660,1680,1834803,-4.545454545454546
2020-08-28,1685,1830,1680,1725,2490066,2.6785714285714284
2020-08-31,1730,1785,1720,1785,1845640,3.4782608695652173
