Date,IR3TIB01GBM156N
2020-01-01,0.74
2020-02-01,0.75
2020-03-01,0.53
2020-04-01,0.65
2020-05-01,0.33
2020-06-01,0.19
2020-07-01,0.1
2020-08-01,0.07
2020-09-01,0.06
2020-10-01,0.05
2020-11-01,0.04
2020-12-01,0.03
