,시가,고가,저가,종가,거래량,거래대금,상장시가총액,날짜,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2058.76,2058.76,2049.52,2054.99,153446302,479393443444,60710114803509,2017-01-02,,,,,,,
1,2058.94,2068.18,2058.62,2068.18,173366750,511818656278,61103038327242,2017-01-03,,,,,,,
2,2074.18,2082.8,2071.68,2082.38,210955658,666248589793,61518339963715,2017-01-04,,,,,,,
3,2087.6,2094.11,2087.21,2093.7,262178849,611196552971,61862817210525,2017-01-05,,,,,,,
4,2097.75,2098.08,2091.47,2097.66,181150262,500070352511,62017333767034,2017-01-06,,,,,,,
5,2101.13,2101.49,2090.91,2095.24,191998649,591567447807,61947153930505,2017-01-09,,,,,,,
6,2093.76,2095.76,2079.57,2084.66,302533907,763191832769,61634365076109,2017-01-10,,,,,,,
7,2084.98,2090.31,2084.66,2089.77,230858989,592312503998,61770277536268,2017-01-11,,,,,,,
8,2094.14,2095.56,2078.21,2086.92,346771411,901325434938,61675085512558,2017-01-12,,,,,,,
9,2089.56,2098.58,2088.09,2098.37,425096846,1358791653692,62061077160510,2017-01-13,,,,,,,
10,2104.31,2105.36,2079.5,2081.9,273252085,1009804726916,61573396400046,2017-01-16,,,,,,,
11,2083.28,2088.49,2082.04,2084.17,310047470,950501450567,61642522912129,2017-01-17,,,,,,,
12,2086.22,2086.92,2076.06,2086.51,231362238,830545586944,61707248938460,2017-01-18,,,,,,,
13,2089.74,2092.59,2080.43,2081.54,200317640,609440730715,61567887707905,2017-01-19,,,,,,,
14,2081.21,2082.68,2071.24,2073.73,214771434,1008102653505,61338157600730,2017-01-20,,49.21392183985063,,,,,
15,2078.38,2079.14,2058.01,2058.01,198579728,782275231549,60883531001003,2017-01-23,,39.18359326387035,,,,,
16,2057.94,2057.94,2041.27,2042.98,156736107,611249347735,60446385301570,2017-01-24,,32.387029135221155,,,,,
17,2049.94,2051.79,2033.05,2034.18,141686792,517061892068,60187889908192,2017-01-25,,29.194104335830126,,,,,
18,2038.93,2053.17,2037.08,2053.17,122007181,411339746175,60753231294632,2017-01-26,,42.3925603044003,,,,,
19,2051.97,2053.01,2045.24,2049.58,147244651,536292139564,60646412557904,2017-01-31,2074.882,40.8425976630235,2036.9738607156721,2074.882,2112.790139284328,3.654004351507973,0.1662721980334643
20,2049.93,2069.47,2049.93,2069.47,229082314,676332365414,61236648124583,2017-02-01,2075.606,51.43671258553729,2038.7054588657568,2075.606,2112.506541134244,3.555640245233782,0.4168575878375622
21,2066.68,2066.68,2034.09,2038.06,497965915,1126520387917,60341436468428,2017-02-02,2074.1,39.42838748674941,2033.8074557765333,2074.1,2114.3925442234663,3.8853039123925086,0.05277085755470812
22,2041.08,2042.18,2026.04,2031.37,293432326,896749943256,60144053895050,2017-02-03,2071.5495,37.424347711377315,2027.4028373968088,2071.5495,2115.6961626031916,4.26218756570301,0.0449316252833157
23,2037.14,2039.16,2033.14,2037.03,171599971,511310725791,60310924234418,2017-02-06,2068.716,40.19395017051032,2023.361803104894,2068.716,2114.0701968951057,4.384767836194608,0.15068282354020507
24,2039.29,2039.29,2027.05,2033.16,170797401,548868658930,60185745777165,2017-02-07,2065.491,38.925352747484624,2019.6576554133342,2065.491,2111.324344586666,4.438009614824362,0.14729826841607022
