투자자구분,매도,매수,순매수
금융투자,270491653500,256472929900,-14018723600
보험,9617533700,5350534200,-4266999500
투신,17172640400,26907993700,9735353300
사모,16639782300,49517261300,32877479000
은행,511015200,1211205200,700190000
기타금융,684173800,687428000,3254200
연기금 등,643601917200,668033052400,24431135200
기관합계,958718716100,1008180404700,49461688600
기타법인,3610019500,4327062000,717042500
개인,304579129400,332231821700,27652692300
외국인,721991725084,644466155784,-77525569300
기타외국인,2775356600,2469502500,-305854100
전체,1991674946684,1991674946684,0
