투자자구분,매도,매수,순매수
금융투자,103862375100,97108226900,-6754148200
보험,1495847000,3629287200,2133440200
투신,6919320800,5007079100,-1912241700
사모,4146323300,1319788000,-2826535300
은행,58290000,78410300,20120300
기타금융,258757500,96524900,-162232600
연기금 등,281714695600,294108304400,12393608800
기관합계,398455609300,401347620800,2892011500
기타법인,2805436600,2132888900,-672547700
개인,102579285200,176208130300,73628845100
외국인,344684111200,268610569800,-76073541400
기타외국인,212769100,438001600,225232500
전체,848737211400,848737211400,0
