투자자구분,매도,매수,순매수
금융투자,73001353400,26370124200,-46631229200
보험,3164954900,1173883800,-1991071100
투신,8228852300,18903430100,10674577800
사모,3109068800,15359108700,12250039900
은행,184829200,21828000,-163001200
기타금융,680730800,319796600,-360934200
연기금 등,134665472200,158524379800,23858907600
기관합계,223035261600,220672551200,-2362710400
기타법인,456638500,1646281400,1189642900
개인,97912963300,149190908300,51277945000
외국인,339547904284,288744238684,-50803665600
기타외국인,471654700,1170442800,698788100
전체,661424422384,661424422384,0
