투자자구분,매도,매수,순매수
금융투자,217197124600,104609628800,-112587495800
보험,12736493200,9065077100,-3671416100
투신,15144710600,29131019500,13986308900
사모,11714061800,23438531600,11724469800
은행,856049700,148880900,-707168800
기타금융,614469800,879903900,265434100
연기금 등,589287019900,631237636100,41950616200
기관합계,847549929600,798510677900,-49039251700
기타법인,9662757000,9166287000,-496470000
개인,581072451600,229109142700,-351963308900
외국인,686835504800,1089415815100,402580310300
기타외국인,1540934700,459655000,-1081279700
전체,2126661577700,2126661577700,0
