투자자구분,매도,매수,순매수
금융투자,71232237900,43011950700,-28220287200
보험,4938748500,1750106400,-3188642100
투신,5304898900,6171178600,866279700
사모,47478277500,4128158000,-43350119500
은행,4317611200,20670000,-4296941200
기타금융,1581300,160947100,159365800
연기금 등,341568890500,360910690000,19341799500
기관합계,474842245800,416153700800,-58688545000
기타법인,9348714200,4515448900,-4833265300
개인,144350109100,162005635800,17655526700
외국인,416342582400,462174264700,45831682300
기타외국인,338256500,372857800,34601300
전체,1045221908000,1045221908000,0
