투자자구분,매도,매수,순매수
금융투자,63746665500,77180389300,13433723800
보험,552572200,1880543600,1327971400
투신,5327764600,7484229500,2156464900
사모,7729650500,6220231200,-1509419300
은행,0,1004956800,1004956800
기타금융,1186722900,872900,-1185850000
연기금 등,291435193000,319749103800,28313910800
기관합계,369978568700,413520327100,43541758400
기타법인,4520891800,3636861700,-884030100
개인,90040584100,76242320500,-13798263600
외국인,216990101400,187994257700,-28995843700
기타외국인,333223200,469602200,136379000
전체,681863369200,681863369200,0
