투자자구분,매도,매수,순매수
금융투자,205813220000,110855433100,-94957786900
보험,10387123700,4250863300,-6136260400
투신,15200791200,14993194600,-207596600
사모,56808358900,9236742000,-47571616900
은행,5063166100,92153100,-4971013000
기타금융,211842800,327143500,115300700
연기금 등,621739897500,667402278600,45662381100
기관합계,915224400200,807157808200,-108066592000
기타법인,12965596900,9556473800,-3409123100
개인,288240936900,296090376700,7849439800
외국인,801538849200,905273463600,103734614400
기타외국인,704439800,596100700,-108339100
전체,2018674223000,2018674223000,0
