투자자구분,매도,매수,순매수
금융투자,174477046400,86751531800,-87725514600
보험,4309302300,3046241600,-1263060700
투신,14840383600,12964650700,-1875732900
사모,28474951000,8078196700,-20396754300
은행,5227563000,230592900,-4996970100
기타금융,288195600,47934000,-240261600
연기금 등,402547850200,433157608200,30609758000
기관합계,630165292100,544276755900,-85888536200
기타법인,3819975800,7850253800,4030278000
개인,155429248300,360798182900,205368934600
외국인,780206011250,656282779550,-123923231700
기타외국인,249867900,662423200,412555300
전체,1569870395350,1569870395350,0
