날짜,시가,고가,저가,종가,거래량,등락률
2020-07-01,11650,11700,11500,11500,55882,-0.8620689655172413
2020-07-02,11550,11650,11400,11500,41898,0.0
2020-07-03,11500,11600,11400,11600,30340,0.8695652173913043
2020-07-06,11500,11800,11450,11600,84134,0.0
2020-07-07,11600,11650,11500,11600,57931,0.0
2020-07-08,11550,11600,11500,11550,39755,-0.43103448275862066
2020-07-09,11600,12050,11550,11800,211667,2.1645021645021645
2020-07-10,11650,11700,11500,11600,71315,-1.694915254237288
2020-07-13,11600,11650,11500,11600,66286,0.0
2020-07-14,11600,11600,11500,11600,52902,0.0
2020-07-15,11600,11700,11550,11600,66567,0.0
2020-07-16,11650,11700,11550,11650,41990,0.43103448275862066
2020-07-17,11650,11700,11600,11650,45135,0.0
2020-07-20,11600,11750,11600,11650,72200,0.0
2020-07-21,11700,11850,11600,11800,98559,1.2875536480686696
2020-07-22,11800,11950,11700,11750,113043,-0.423728813559322
2020-07-23,11800,11800,11600,11700,53029,-0.425531914893617
2020-07-24,11650,11700,11600,11600,43673,-0.8547008547008548
2020-07-27,11700,11900,11700,11800,103802,1.7241379310344827
2020-07-28,11850,11900,11800,11850,115266,0.423728813559322
2020-07-29,12500,12800,12050,12150,562322,2.5316455696202533
2020-07-30,12200,12250,11850,12100,179843,-0.411522633744856
2020-07-31,12100,12150,11850,11850,101048,-2.066115702479339
