,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
557,2019-04-16,416.33,419.0,412.58,415.11,12887017,51263025139,3568355548621,393.8115,70.84370076078582,374.17331141246194,393.8115,413.4496885875381,9.97339518400965,1.0422725193074962
558,2019-04-17,416.9,417.16,411.64,414.97,10420096,33130844594,3567723120234,394.72850000000005,70.62017757661721,373.04342377233354,394.72850000000005,416.41357622766657,10.98733748774994,0.9667149837862968
559,2019-04-18,415.65,416.65,405.2,406.07,6686478,31815743207,3491322796847,395.4815,58.07546570220771,373.32444760127817,395.4815,417.6385523987218,11.205101830918421,0.7389419813036782
560,2019-04-19,408.34,410.04,406.14,407.94,4595021,21164649198,3507295791162,396.4815,59.69549102638928,373.97365756675686,396.4815,418.9893424332431,11.353792009585884,0.7545446111502073
561,2019-04-22,409.28,413.31,408.35,411.18,7463923,34263426304,3535321721385,398.26300000000003,62.40605432083203,377.0617820161272,398.26300000000003,419.46421798387286,10.646842907261192,0.8046287248644294
562,2019-04-23,410.0,411.18,403.89,405.27,5780467,27744275356,3484426404115,399.46750000000003,55.123705519330514,379.58931610408825,399.46750000000003,419.3456838959118,9.952341001914686,0.6459514619238762
563,2019-04-24,406.47,408.49,404.07,405.62,8211784,29038254203,3487447079703,400.64700000000005,55.455223268400026,382.30757023788146,400.64700000000005,418.98642976211863,9.154906819279107,0.6355821872464117
564,2019-04-25,406.62,407.81,398.8,398.8,6223235,22960899286,3428818804895,401.427,48.01230328233484,384.8830039893719,401.427,417.97099601062814,8.242592556369212,0.4206056384953072
565,2019-04-26,399.28,400.8,396.29,399.51,10991353,37611184441,3434899611817,402.08,48.78298282590219,386.98460202579355,402.08,417.1753979742064,7.508653986374073,0.41487471862645287
566,2019-04-29,399.42,400.92,396.43,399.93,8032033,22638449204,3438387647026,402.4995,49.26214331248568,388.15121442298164,402.4995,416.8477855770184,7.129591752048573,0.4104596857161956
567,2019-04-30,399.36,400.54,394.7,397.01,5670219,18564744250,3413396225431,402.559,46.03739585448102,388.3124946039503,402.559,416.80550539604974,7.077971376145962,0.3052504861459334
568,2019-05-02,396.94,399.25,396.45,399.22,4445002,13760026087,3432293660353,402.8135,48.77074166321354,389.00321358010007,402.8135,416.6237864198999,6.856913395355375,0.3698977019469379
569,2019-05-03,399.1,400.77,395.6,395.94,5279998,15957962165,3404251491025,402.899,45.11800921946126,389.2825218944225,402.899,416.51547810557753,6.759251378423639,0.2444640256444328
570,2019-05-07,395.87,413.91,395.54,412.41,45878879,190672555217,3545808938410,403.848,60.93829013377433,390.35854100418896,403.848,417.33745899581106,6.680463439616414,0.8173589097479304
571,2019-05-08,414.83,426.41,411.77,420.46,43271167,253582923409,3614888746681,405.1245,66.08431511761536,390.47072031694,405.1245,419.77827968306,7.234210561474316,1.0232609037287506
572,2019-05-09,423.13,423.72,409.6,410.63,23251611,125361652022,3530721641396,405.85900000000004,56.32605680740878,391.65455013386094,405.85900000000004,420.06344986613914,6.9996968731205165,0.6679403301416544
573,2019-05-10,409.95,411.91,402.11,404.99,22484854,93668922642,3482003492241,406.226,51.61657255210409,392.5182964724335,406.226,419.9337035275665,6.748806589221999,0.45491586181761345
574,2019-05-13,403.29,405.77,398.35,398.35,12939812,57048827044,3425004373501,406.1825,46.66926797619176,392.38094084895994,406.1825,419.98405915104007,6.795742874712754,0.21624582721837862
575,2019-05-14,393.34,408.77,392.07,408.43,13285201,61628742002,3511424327790,406.3055,53.893889604273674,392.4699031932244,406.3055,420.1410968067756,6.810440324719003,0.5767765940880699
