Date,DGS10
2023-01-02,
2023-01-03,3.79
2023-01-04,3.69
2023-01-05,3.71
2023-01-06,3.55
2023-01-09,3.53
2023-01-10,3.61
2023-01-11,3.54
2023-01-12,3.43
2023-01-13,3.49
2023-01-16,
2023-01-17,3.53
2023-01-18,3.37
2023-01-19,3.39
2023-01-20,3.48
2023-01-23,3.52
2023-01-24,3.46
2023-01-25,3.46
2023-01-26,3.49
2023-01-27,3.52
2023-01-30,3.55
2023-01-31,3.52
2023-02-01,3.39
2023-02-02,3.4
2023-02-03,3.53
2023-02-06,3.63
2023-02-07,3.67
2023-02-08,3.63
2023-02-09,3.67
2023-02-10,3.74
2023-02-13,3.72
2023-02-14,3.77
2023-02-15,3.81
2023-02-16,3.86
2023-02-17,3.82
2023-02-20,
2023-02-21,3.95
2023-02-22,3.93
2023-02-23,3.88
2023-02-24,3.95
2023-02-27,3.92
2023-02-28,3.92
2023-03-01,4.01
2023-03-02,4.08
2023-03-03,3.97
2023-03-06,3.98
2023-03-07,3.97
2023-03-08,3.98
2023-03-09,3.93
2023-03-10,3.7
2023-03-13,3.55
2023-03-14,3.64
2023-03-15,3.51
2023-03-16,3.56
2023-03-17,3.39
2023-03-20,3.47
2023-03-21,3.59
2023-03-22,3.48
2023-03-23,3.38
2023-03-24,3.38
2023-03-27,3.53
2023-03-28,3.55
2023-03-29,3.57
2023-03-30,3.55
2023-03-31,3.48
2023-04-03,3.43
2023-04-04,3.35
2023-04-05,3.3
2023-04-06,3.3
2023-04-07,3.39
2023-04-10,3.41
2023-04-11,3.43
2023-04-12,3.41
2023-04-13,3.45
2023-04-14,3.52
2023-04-17,3.6
2023-04-18,3.58
2023-04-19,3.6
2023-04-20,3.54
2023-04-21,3.57
2023-04-24,3.52
2023-04-25,3.4
2023-04-26,3.43
2023-04-27,3.53
2023-04-28,3.44
2023-05-01,3.59
2023-05-02,3.44
2023-05-03,3.38
2023-05-04,3.37
2023-05-05,3.44
2023-05-08,3.52
2023-05-09,3.53
2023-05-10,3.43
2023-05-11,3.39
2023-05-12,3.46
2023-05-15,3.5
2023-05-16,3.54
2023-05-17,3.57
2023-05-18,3.65
2023-05-19,3.7
2023-05-22,3.72
2023-05-23,3.7
2023-05-24,3.73
2023-05-25,3.83
2023-05-26,3.8
2023-05-29,
2023-05-30,3.69
2023-05-31,3.64
2023-06-01,3.61
2023-06-02,3.69
2023-06-05,3.69
2023-06-06,3.7
2023-06-07,3.79
2023-06-08,3.73
2023-06-09,3.75
2023-06-12,3.73
2023-06-13,3.84
2023-06-14,3.83
2023-06-15,3.72
2023-06-16,3.77
2023-06-19,
2023-06-20,3.74
2023-06-21,3.72
2023-06-22,3.8
2023-06-23,3.74
2023-06-26,3.72
2023-06-27,3.77
2023-06-28,3.71
2023-06-29,3.85
2023-06-30,3.81
2023-07-03,3.86
2023-07-04,
2023-07-05,3.95
2023-07-06,4.05
2023-07-07,4.06
2023-07-10,4.01
2023-07-11,3.99
2023-07-12,3.86
2023-07-13,3.76
2023-07-14,3.83
2023-07-17,3.81
2023-07-18,3.8
2023-07-19,3.75
2023-07-20,3.85
2023-07-21,3.84
2023-07-24,3.86
2023-07-25,3.91
2023-07-26,3.86
2023-07-27,4.01
2023-07-28,3.96
2023-07-31,3.97
2023-08-01,4.05
2023-08-02,4.08
2023-08-03,4.2
2023-08-04,4.05
2023-08-07,4.09
2023-08-08,4.02
2023-08-09,4.0
2023-08-10,4.09
2023-08-11,4.16
2023-08-14,4.19
2023-08-15,4.21
2023-08-16,4.28
2023-08-17,4.3
2023-08-18,4.26
2023-08-21,4.34
2023-08-22,4.34
2023-08-23,4.19
2023-08-24,4.23
2023-08-25,4.25
2023-08-28,4.2
2023-08-29,4.12
2023-08-30,4.12
