투자자구분,매도,매수,순매수
금융투자,158319991500,149014555900,-9305435600
보험,9090679400,7205990200,-1884689200
투신,33756832700,21772755000,-11984077700
사모,27223397900,17416173700,-9807224200
은행,537291500,1952010700,1414719200
기타금융,10642400,38939300,28296900
연기금 등,430508523900,433207374300,2698850400
기관합계,659447359300,630607799100,-28839560200
기타법인,18620014400,2708028800,-15911985600
개인,310038524000,187424111800,-122614412200
외국인,263133448700,430980213600,167846764900
기타외국인,871850400,391043500,-480806900
전체,1252111196800,1252111196800,0
