투자자구분,매도,매수,순매수
금융투자,204789811200,107117058000,-97672753200
보험,6077981500,5916822100,-161159400
투신,12057534500,10729955000,-1327579500
사모,8448957200,9308778600,859821400
은행,2412363900,187128600,-2225235300
기타금융,215651300,439941900,224290600
연기금 등,710030745300,703646656500,-6384088800
기관합계,944033044900,837346340700,-106686704200
기타법인,12845973600,4800448900,-8045524700
개인,330353263100,222232886600,-108120376500
외국인,380750441900,603990321600,223239879700
기타외국인,1106798200,719523900,-387274300
전체,1669089521700,1669089521700,0
