투자자구분,매도,매수,순매수
금융투자,146087194500,117331669300,-28755525200
보험,5988117800,7629896700,1641778900
투신,17853470200,4081727000,-13771743200
사모,8544409100,1603318400,-6941090700
은행,0,323595200,323595200
기타금융,70172300,4813000,-65359300
연기금 등,647342860800,637725136600,-9617724200
기관합계,825886224700,768700156200,-57186068500
기타법인,3232263600,2918733300,-313530300
개인,179177507000,288111540500,108934033500
외국인,274160693076,221616049376,-52544643700
기타외국인,453989200,1564198200,1110209000
전체,1282910677576,1282910677576,0
