투자자구분,매도,매수,순매수
금융투자,301891892900,134189758600,-167702134300
보험,7081725500,6874961100,-206764400
투신,15521408000,13383779500,-2137628500
사모,15278675100,3609925200,-11668749900
은행,6253100600,1484284800,-4768815800
기타금융,33566400,39838000,6271600
연기금 등,795706334000,807989649500,12283315500
기관합계,1141766702500,967572196700,-174194505800
기타법인,6158359600,7816964500,1658604900
개인,194698911600,472500602100,277801690500
외국인,523163595400,417037974300,-106125621100
기타외국인,719899900,1579731400,859831500
전체,1866507469000,1866507469000,0
