투자자구분,매도,매수,순매수
금융투자,154850857300,174397728500,19546871200
보험,14011724000,9173873800,-4837850200
투신,10573463400,15926546500,5353083100
사모,16338556800,33706621400,17368064600
은행,868996800,556614700,-312382100
기타금융,400496800,1668467200,1267970400
연기금 등,558065612500,534978493600,-23087118900
기관합계,755109707600,770408345700,15298638100
기타법인,6666945600,4549741700,-2117203900
개인,285221616600,228499822500,-56721794100
외국인,400102678067,444175840767,44073162700
기타외국인,998481800,465679000,-532802800
전체,1448099429667,1448099429667,0
