투자자구분,매도,매수,순매수
금융투자,172911515700,108598705300,-64312810400
보험,7899881500,7425168800,-474712700
투신,25393359800,21276928100,-4116431700
사모,18381618800,16259407600,-2122211200
은행,1349791500,2576004300,1226212800
기타금융,5239500,2513500,-2726000
연기금 등,568166700400,570790232500,2623532100
기관합계,794108107200,726928960100,-67179147100
기타법인,4949862300,3944812200,-1005050100
개인,301012739900,319820778800,18808038900
외국인,305124992300,354098058700,48973066400
기타외국인,693540000,1096631900,403091900
전체,1405889241700,1405889241700,0
