Date,MOM
2022-01-03,0.28596686247640224
2022-01-03,-0.03230586733682106
2022-01-03,0.28596686247640224
2022-01-03,-0.03230586733682106
2022-01-04,0.3090195248222172
2022-01-04,0.03200746512104247
2022-01-04,0.3090195248222172
2022-01-04,0.03200746512104247
2022-01-05,0.3144703611588582
2022-01-05,0.011703491831206447
2022-01-05,0.3144703611588582
2022-01-05,0.011703491831206447
2022-01-06,0.2965743668976173
2022-01-06,0.01791799494338786
2022-01-06,0.2965743668976173
2022-01-06,0.01791799494338786
2022-01-07,0.20828634825943038
2022-01-07,0.014875439675222868
2022-01-07,0.20828634825943038
2022-01-07,0.014875439675222868
2022-01-10,-0.006987724985007215
2022-01-10,0.1504678897468823
2022-01-10,-0.006987724985007215
2022-01-10,0.1504678897468823
2022-01-11,0.11007906589112149
2022-01-11,-0.033683917724183554
2022-01-11,0.11007906589112149
2022-01-11,-0.033683917724183554
2022-01-12,0.1299316804881192
2022-01-12,-0.014492047549805931
2022-01-12,0.1299316804881192
2022-01-12,-0.014492047549805931
2022-01-13,0.13321340614626842
2022-01-13,0.031774877256472545
2022-01-13,0.13321340614626842
2022-01-13,0.031774877256472545
2022-01-14,0.051118236667178296
2022-01-14,0.13607793840352
2022-01-14,0.051118236667178296
2022-01-14,0.13607793840352
2022-01-17,0.12527562733873876
2022-01-17,0.03278110397781453
2022-01-17,0.12527562733873876
2022-01-17,0.03278110397781453
2022-01-18,-0.014199413375808656
2022-01-18,0.11299717528992748
2022-01-18,-0.014199413375808656
2022-01-18,0.11299717528992748
2022-01-19,-0.04053705236146643
2022-01-19,0.08358412428942574
2022-01-19,-0.04053705236146643
2022-01-19,0.08358412428942574
2022-01-20,-0.03335335063130018
2022-01-20,0.11305361305361306
2022-01-20,-0.03335335063130018
2022-01-20,0.11305361305361306
2022-01-21,-0.027297442181038467
2022-01-21,0.13422899699957136
2022-01-21,-0.027297442181038467
2022-01-21,0.13422899699957136
2022-01-24,-0.026450204937267352
2022-01-24,0.06562184283977457
2022-01-24,-0.026450204937267352
2022-01-24,0.06562184283977457
2022-01-25,-0.05712574198115783
2022-01-25,0.017547100110823832
2022-01-25,-0.05712574198115783
2022-01-25,0.017547100110823832
2022-01-26,-0.07271314473043278
2022-01-26,0.007514407164098902
2022-01-26,-0.07271314473043278
2022-01-26,0.007514407164098902
2022-01-27,-0.08275670742249219
2022-01-27,-0.10951247121277174
2022-01-27,-0.08275670742249219
2022-01-27,-0.10951247121277174
2022-01-28,-0.07914439766367476
2022-01-28,-0.061648921013448765
2022-01-28,-0.07914439766367476
2022-01-28,-0.061648921013448765
2022-02-03,-0.029632741630228887
2022-02-03,-0.08624662964072538
2022-02-03,-0.029632741630228887
2022-02-03,-0.08624662964072538
2022-02-04,-0.07411288712822628
2022-02-04,-0.024307269123417186
2022-02-04,-0.07411288712822628
2022-02-04,-0.024307269123417186
2022-02-07,-0.09894440216695166
2022-02-07,-0.01815270935960578
2022-02-07,-0.09894440216695166
2022-02-07,-0.01815270935960578
2022-02-08,-0.1182794900542764
2022-02-08,0.007256426241883718
2022-02-08,-0.1182794900542764
2022-02-08,0.007256426241883718
2022-02-09,-0.12047344408430816
2022-02-09,0.013729977116704983
2022-02-09,-0.12047344408430816
2022-02-09,0.013729977116704983
2022-02-10,0.0019493908153700445
2022-02-10,-0.13956266834550146
2022-02-10,0.0019493908153700445
2022-02-10,-0.13956266834550146
2022-02-11,-0.13962655377604027
2022-02-11,-0.035192675660619455
2022-02-11,-0.13962655377604027
2022-02-11,-0.035192675660619455
2022-02-14,-0.039707741794653084
2022-02-14,-0.16692690003108512
2022-02-14,-0.039707741794653084
2022-02-14,-0.16692690003108512
2022-02-15,-0.06560624883280963
2022-02-15,-0.19128167648174965
2022-02-15,-0.06560624883280963
2022-02-15,-0.19128167648174965
2022-02-16,-0.15689469125811073
2022-02-16,-0.04052820371956245
2022-02-16,-0.15689469125811073
2022-02-16,-0.04052820371956245
2022-02-17,-0.04074120264393388
2022-02-17,-0.16144007146198125
2022-02-17,-0.04074120264393388
2022-02-17,-0.16144007146198125
2022-02-18,-0.053218383098213806
2022-02-18,-0.15737396499134793
2022-02-18,-0.053218383098213806
2022-02-18,-0.15737396499134793
2022-02-21,-0.1572262308626805
2022-02-21,-0.06901446035681014
2022-02-21,-0.1572262308626805
2022-02-21,-0.06901446035681014
2022-02-22,-0.18937159477284826
2022-02-22,-0.09999545182343972
2022-02-22,-0.18937159477284826
2022-02-22,-0.09999545182343972
2022-02-23,-0.11418498425697354
2022-02-23,-0.17730199481047237
2022-02-23,-0.11418498425697354
2022-02-23,-0.17730199481047237
2022-02-24,-0.13830335515126524
2022-02-24,-0.20816151173686692
2022-02-24,-0.13830335515126524
2022-02-24,-0.20816151173686692
2022-02-25,-0.15138383476895934
2022-02-25,-0.18791875762918764
2022-02-25,-0.15138383476895934
2022-02-25,-0.18791875762918764
2022-02-28,-0.1333562747903574
2022-02-28,-0.19455021057840882
2022-02-28,-0.1333562747903574
2022-02-28,-0.19455021057840882
2022-03-02,-0.1845741285500545
2022-03-03,-0.16338568063869552
2022-03-04,-0.1666390831928828
2022-03-07,-0.1782039115295897
2022-03-08,-0.20807680833175113
2022-03-10,-0.19458092509814862
2022-03-11,-0.18601460815706983
2022-03-14,-0.1826886423021743
2022-03-15,-0.1882363244644516
2022-03-16,-0.1611895032108327
2022-03-17,-0.11002419887071935
2022-03-18,-0.1283491199471466
2022-03-21,-0.130451200136792
2022-03-22,-0.14115848420137245
2022-03-23,-0.13598222672022686
