날짜,시가,고가,저가,종가,거래량,등락률
2024-10-02,9390,9390,9320,9340,353,-1.4767932489451476
2024-10-04,9400,9400,9190,9270,876,-0.7494646680942184
2024-10-07,9200,9200,8880,8950,6925,-3.4519956850053934
2024-10-08,8910,9000,8910,8990,1883,0.44692737430167595
2024-10-10,8990,9030,8940,8960,408,-0.33370411568409347
2024-10-11,8930,9190,8910,8930,1404,-0.33482142857142855
2024-10-14,8910,8920,8790,8800,4414,-1.4557670772676372
2024-10-15,8810,8840,8650,8760,4021,-0.45454545454545453
2024-10-16,8670,8790,8600,8710,3783,-0.5707762557077625
2024-10-17,8700,8790,8180,8700,5133,-0.1148105625717566
2024-10-18,8700,8730,8510,8650,1547,-0.5747126436781609
2024-10-21,8670,8670,8440,8600,3284,-0.5780346820809248
2024-10-22,8520,8520,8280,8340,3566,-3.0232558139534884
2024-10-23,8380,8450,8270,8370,2084,0.3597122302158274
2024-10-24,8360,8720,8230,8360,1596,-0.11947431302270012
2024-10-25,8390,8400,8100,8240,2990,-1.4354066985645932
2024-10-28,8160,8450,8160,8250,1613,0.12135922330097086
2024-10-29,8290,8620,8200,8480,3841,2.7878787878787876
2024-10-30,8480,8480,8210,8400,1756,-0.9433962264150944
2024-10-31,8400,8400,8160,8250,2089,-1.7857142857142856
