날짜,시가총액,거래량,거래대금,상장주식수
2020-10-05,386000000000,710,54604000,5000000
2020-10-06,365000000000,10293,793217500,5000000
2020-10-07,366500000000,6488,479217800,5000000
2020-10-08,366500000000,2861,209459500,5000000
2020-10-12,366500000000,1056,77204100,5000000
2020-10-13,371000000000,1050,77181100,5000000
2020-10-14,370500000000,6558,486915300,5000000
2020-10-15,387500000000,14834,1164615700,5000000
2020-10-16,387500000000,10223,800227000,5000000
2020-10-19,384000000000,12626,975567900,5000000
2020-10-20,380000000000,17920,1354768400,5000000
2020-10-21,389000000000,2227,171713100,5000000
2020-10-22,395000000000,4161,330850500,5000000
2020-10-23,407000000000,2760,222914800,5000000
2020-10-26,403500000000,1161,94261600,5000000
2020-10-27,405000000000,3254,261602100,5000000
2020-10-28,414500000000,1700,138973600,5000000
2020-10-29,417000000000,1074,89378300,5000000
2020-10-30,423000000000,822,68878100,5000000
2020-11-02,429000000000,1522,129855200,5000000
2020-11-03,447500000000,1906,168278800,5000000
2020-11-04,452500000000,3456,314075000,5000000
2020-11-05,472000000000,2051,191879200,5000000
2020-11-06,464000000000,2989,281503000,5000000
2020-11-09,470000000000,1483,139290300,5000000
2020-11-10,462500000000,1180,109762200,5000000
2020-11-11,456500000000,1165,107078500,5000000
2020-11-12,459000000000,1777,162060400,5000000
2020-11-13,459500000000,3627,340148300,5000000
2020-11-16,461000000000,2883,263948600,5000000
2020-11-17,455000000000,929,85264100,5000000
2020-11-18,465000000000,2118,197033400,5000000
2020-11-19,468500000000,2710,256164700,5000000
2020-11-20,467000000000,1528,144473000,5000000
2020-11-23,465500000000,1772,167666100,5000000
2020-11-24,466000000000,5608,524659000,5000000
2020-11-25,466000000000,320,29889400,5000000
2020-11-26,467000000000,12843,1211044700,5000000
2020-11-27,472000000000,3115,294561500,5000000
2020-11-30,476000000000,462,44243400,5000000
2020-12-01,470500000000,635,60195200,5000000
2020-12-02,471500000000,707,66547200,5000000
2020-12-03,470000000000,1142,107486400,5000000
2020-12-04,460000000000,2123,197411900,5000000
2020-12-07,450000000000,6070,541570100,5000000
2020-12-08,451500000000,13345,1182956700,5000000
2020-12-09,476500000000,15785,1491961000,5000000
2020-12-10,494000000000,3085,300642900,5000000
2020-12-11,502500000000,4472,451593700,5000000
2020-12-14,496000000000,8659,879056200,5000000
2020-12-15,497500000000,952,95743600,5000000
2020-12-16,495000000000,9151,908650000,5000000
2020-12-17,493500000000,3627,358488500,5000000
2020-12-18,494000000000,826,82059700,5000000
2020-12-21,489500000000,851,83611800,5000000
2020-12-22,480000000000,6440,619677100,5000000
2020-12-23,467500000000,11739,1115221800,5000000
2020-12-24,470000000000,766,71629600,5000000
2020-12-28,471000000000,6342,619429500,5000000
2020-12-29,452000000000,11052,1001227100,5000000
2020-12-30,452500000000,2800,251537900,5000000
