투자자구분,매도,매수,순매수
금융투자,128361681700,94781940800,-33579740900
보험,3210391900,2176857200,-1033534700
투신,2609150200,6294317000,3685166800
사모,1697045600,13074121100,11377075500
은행,73359900,59599800,-13760100
기타금융,694985600,916500,-694069100
연기금 등,279253896700,259862234000,-19391662700
기관합계,415900511600,376249986400,-39650525200
기타법인,16184691600,3179696500,-13004995100
개인,297433468600,139146056200,-158287412400
외국인,215069316600,426063487900,210994171300
기타외국인,621063500,569824900,-51238600
전체,945209051900,945209051900,0
