투자자구분,매도,매수,순매수
금융투자,425225772100,174296871400,-250928900700
보험,20107503400,6116178800,-13991324600
투신,72195774100,8049526800,-64146247300
사모,72797385000,4587303800,-68210081200
은행,2431577400,2852983700,421406300
기타금융,3014641700,38496900,-2976144800
연기금 등,888667896900,963905485500,75237588600
기관합계,1484440550600,1159846846900,-324593703700
기타법인,7198914500,13742321700,6543407200
개인,273452342200,600860924100,327408581900
외국인,510924084300,500773613100,-10150471200
기타외국인,880427600,1672613400,792185800
전체,2276896319200,2276896319200,0
