투자자구분,매도,매수,순매수
금융투자,303923882100,345265012700,41341130600
보험,5154634900,6679210100,1524575200
투신,5350022900,26503459700,21153436800
사모,4465953500,63008716400,58542762900
은행,146513200,3473879400,3327366200
기타금융,8246158700,1604954500,-6641204200
연기금 등,752792987800,756508938300,3715950500
기관합계,1080080153100,1203044171100,122964018000
기타법인,2424964100,6175261200,3750297100
개인,402911612600,121795954100,-281115658500
외국인,298170739775,452680589075,154509849300
기타외국인,719767700,611261800,-108505900
전체,1784307237275,1784307237275,0
