투자자구분,매도,매수,순매수
금융투자,144963291600,146688938600,1725647000
보험,13229973400,12103143100,-1126830300
투신,28415185500,15349456600,-13065728900
사모,48952630200,30160397800,-18792232400
은행,60754800,1085429900,1024675100
기타금융,241510200,5000600,-236509600
연기금 등,677613482800,668240004600,-9373478200
기관합계,913476828500,873632371200,-39844457300
기타법인,4634809900,8958828800,4324018900
개인,313871920600,293468329000,-20403591600
외국인,351083169202,406714553402,55631384200
기타외국인,1316574100,1609219900,292645800
전체,1584383302302,1584383302302,0
