투자자구분,매도,매수,순매수
금융투자,241615447800,196251134700,-45364313100
보험,5714836600,5774961200,60124600
투신,10690491100,9004402100,-1686089000
사모,23365671100,6520881900,-16844789200
은행,97463900,3056727000,2959263100
기타금융,1528594700,75224900,-1453369800
연기금 등,733636907300,755271934900,21635027600
기관합계,1016649412500,975955266700,-40694145800
기타법인,4358725100,9667680600,5308955500
개인,248187194200,573146364900,324959170700
외국인,577974711900,287095001700,-290879710200
기타외국인,703918300,2009648100,1305729800
전체,1847873962000,1847873962000,0
