투자자구분,매도,매수,순매수
금융투자,331735485700,521122257700,189386772000
보험,5296121300,15371234200,10075112900
투신,29077865100,23445985900,-5631879200
사모,18286797000,102484352700,84197555700
은행,716516500,2862092200,2145575700
기타금융,430159600,994245000,564085400
연기금 등,1216676673700,1233249323600,16572649900
기관합계,1602219618900,1899529491300,297309872400
기타법인,59982675700,19313949900,-40668725800
개인,1230682581100,981229949600,-249452631500
외국인,894292554575,887973746475,-6318808100
기타외국인,3257174000,2387467000,-869707000
전체,3790434604275,3790434604275,0
