투자자구분,매도,매수,순매수
금융투자,214541442900,155904863600,-58636579300
보험,8403399700,6766101200,-1637298500
투신,25413499700,9983482700,-15430017000
사모,12033423200,19084488800,7051065600
은행,360359900,1184051500,823691600
기타금융,2286875400,2247800,-2284627600
연기금 등,563975888300,526910997500,-37064890800
기관합계,827014889100,719836233100,-107178656000
기타법인,19978041200,7780567500,-12197473700
개인,518782620100,363778676800,-155003943300
외국인,580631139139,855212092139,274580953000
기타외국인,1355326900,1154446900,-200880000
전체,1947762016439,1947762016439,0
