투자자구분,매도,매수,순매수
금융투자,458599438700,120405921700,-338193517000
보험,15566870000,10138591300,-5428278700
투신,20239483400,10800098300,-9439385100
사모,24841665900,4015777100,-20825888800
은행,96726600,3365767700,3269041100
기타금융,625502600,366533800,-258968800
연기금 등,761011029900,832128998500,71117968600
기관합계,1280980717100,981221688400,-299759028700
기타법인,4210647900,7812642800,3601994900
개인,186324135000,335882893900,149558758900
외국인,479113117800,625680887600,146567769800
기타외국인,500726300,531231400,30505100
전체,1951129344100,1951129344100,0
