투자자구분,매도,매수,순매수
금융투자,163432561000,97664356600,-65768204400
보험,2891044000,7881448600,4990404600
투신,7423348800,13300977900,5877629100
사모,57247954700,5056145000,-52191809700
은행,1336475100,2070656600,734181500
기타금융,1623800,432925800,431302000
연기금 등,535158797700,533848797200,-1310000500
기관합계,767491805100,660255307700,-107236497400
기타법인,2684082000,12179104600,9495022600
개인,256469914000,384991784000,128521870000
외국인,346808003840,315058586940,-31749416900
기타외국인,663031700,1632053400,969021700
전체,1374116836640,1374116836640,0
