투자자구분,매도,매수,순매수
금융투자,160158686300,104665465800,-55493220500
보험,2360874400,12344569600,9983695200
투신,6833607900,8533328500,1699720600
사모,2043069400,59331721300,57288651900
은행,432513200,1485829100,1053315900
기타금융,8254484900,329585900,-7924899000
연기금 등,689166597300,689906971800,740374500
기관합계,869249833400,876597472000,7347638600
기타법인,5584473500,4002571400,-1581902100
개인,371966561700,181093129100,-190873432600
외국인,358509329225,544173271025,185663941800
기타외국인,1026061500,469815800,-556245700
전체,1606336259325,1606336259325,0
