투자자구분,매도,매수,순매수
금융투자,224549246700,128524542900,-96024703800
보험,6854007000,7069615500,215608500
투신,13148003600,5788922400,-7359081200
사모,80587055800,2717510300,-77869545500
은행,40574200,1712681500,1672107300
기타금융,865541700,68418400,-797123300
연기금 등,600630209200,631955332400,31325123200
기관합계,926674638200,777837023400,-148837614800
기타법인,5679037300,7215387000,1536349700
개인,226974948500,347728589900,120753641400
외국인,313810160148,340304243448,26494083300
기타외국인,1496315700,1549856100,53540400
전체,1474635099848,1474635099848,0
