BPS,PER,PBR,EPS,DIV,DPS
43611,10.92,1.45,5777,2.29,1444
43611,11.01,1.46,5777,2.27,1444
43611,11.06,1.47,5777,2.26,1444
43611,10.78,1.43,5777,2.32,1444
43611,11.25,1.49,5777,2.22,1444
43611,11.37,1.51,5777,2.2,1444
43611,11.41,1.51,5777,2.19,1444
43611,11.42,1.51,5777,2.19,1444
43611,11.44,1.52,5777,2.18,1444
43611,11.27,1.49,5777,2.22,1444
43611,11.3,1.5,5777,2.21,1444
43611,11.36,1.5,5777,2.2,1444
43611,11.34,1.5,5777,2.2,1444
43611,11.3,1.5,5777,2.21,1444
43611,11.37,1.51,5777,2.2,1444
43611,11.29,1.5,5777,2.21,1444
43611,11.01,1.46,5777,2.27,1444
43611,11.1,1.47,5777,2.25,1444
43611,11.18,1.48,5777,2.24,1444
43611,11.34,1.5,5777,2.2,1444
