날짜,시가,고가,저가,종가,거래량,등락률
2020-11-02,33400,34050,33350,33650,143403,0.44776119402985076
2020-11-03,33700,34350,33700,33700,209862,0.1485884101040119
2020-11-04,34150,34850,34000,34800,301572,3.2640949554896146
2020-11-05,34700,35250,34700,35150,192602,1.0057471264367817
2020-11-06,35150,35350,34550,34600,147294,-1.5647226173541962
2020-11-09,34700,35300,34650,34650,169029,0.1445086705202312
2020-11-10,35100,35250,34650,34700,283239,0.1443001443001443
2020-11-11,34700,35100,34600,34650,232801,-0.1440922190201729
2020-11-12,34700,34950,34300,34750,222682,0.2886002886002886
2020-11-13,34600,34750,33100,33500,825179,-3.597122302158273
2020-11-16,34000,34900,33800,34200,591424,2.0895522388059704
2020-11-17,34250,34450,33350,33600,472010,-1.7543859649122806
2020-11-18,33600,34350,33600,33750,311541,0.4464285714285714
2020-11-19,33800,34000,33500,33500,298709,-0.7407407407407408
2020-11-20,33400,33950,33400,33700,353239,0.5970149253731344
2020-11-23,33500,33700,33400,33500,449638,-0.5934718100890208
2020-11-24,33500,33650,32450,32950,698698,-1.6417910447761193
2020-11-25,33150,33650,32500,32650,642252,-0.9104704097116844
2020-11-26,32400,33000,32400,32600,292430,-0.1531393568147014
2020-11-27,32550,32550,32300,32450,312295,-0.4601226993865031
2020-11-30,32500,32650,31950,31950,499238,-1.5408320493066257
