날짜,시가총액,거래량,거래대금,상장주식수
2020-10-05,440214515300,519,24313750,9386237
2020-10-06,438806579750,3185,150811250,9386237
2020-10-07,438806579750,2421,114117250,9386237
2020-10-08,435521396800,5901,274985400,9386237
2020-10-12,435990708650,2154,100081400,9386237
2020-10-13,435990708650,3118,144742350,9386237
2020-10-14,433174837550,5028,232675950,9386237
2020-10-15,435521396800,1892,87354800,9386237
2020-10-16,428481719050,6655,303597000,9386237
2020-10-19,430828278300,3500,159833350,9386237
2020-10-20,431297590150,6067,277138850,9386237
2020-10-21,432705525700,11152,512935200,9386237
2020-10-22,438806579750,8963,416844250,9386237
2020-10-23,443969010100,4645,218463150,9386237
2020-10-26,437398644200,6098,286195950,9386237
2020-10-27,433174837550,4672,215776550,9386237
2020-10-28,434113461250,6041,279060850,9386237
2020-10-29,432236213850,3065,140737700,9386237
2020-10-30,429889654600,4705,216227050,9386237
2020-11-02,432705525700,2176,99899000,9386237
2020-11-03,435521396800,3231,149781000,9386237
2020-11-04,441153139000,4156,194718550,9386237
2020-11-05,442561074550,2398,113041050,9386237
2020-11-06,439745203450,6197,290322000,9386237
2020-11-09,443030386400,4058,191632500,9386237
2020-11-10,456640430050,9209,445522450,9386237
2020-11-11,464149419650,9344,461645300,9386237
2020-11-12,466495978900,5408,266491200,9386237
2020-11-13,466965290750,5692,281174050,9386237
2020-11-16,474943592200,23763,1195789500,9386237
2020-11-17,475882215900,4416,222915000,9386237
2020-11-18,480575334400,6148,314293400,9386237
2020-11-19,481513958100,3074,155976500,9386237
2020-11-20,478698087000,12472,640222600,9386237
2020-11-23,487145700300,11898,617075200,9386237
2020-11-24,487145700300,4303,223874700,9386237
2020-11-25,488084324000,9974,520441400,9386237
2020-11-26,488084324000,8545,443973400,9386237
2020-11-27,510611292800,18184,970911200,9386237
2020-11-30,494654689900,6884,366736300,9386237
2020-12-01,504040926900,5301,280781100,9386237
2020-12-02,515304411300,9245,501298800,9386237
2020-12-03,513427163900,8015,436502100,9386237
2020-12-04,509672669100,8004,437722500,9386237
2020-12-07,495593313600,5489,292345000,9386237
2020-12-08,484329829200,5349,278064100,9386237
2020-12-09,489961571400,7054,365031400,9386237
2020-12-10,482452581800,8393,433770500,9386237
2020-12-11,497470561000,7754,403874500,9386237
2020-12-14,496531937300,4746,250863000,9386237
2020-12-15,492777442500,4632,241656600,9386237
2020-12-16,493716066200,99060,5200521800,9386237
2020-12-17,489961571400,1833,95800600,9386237
2020-12-18,489961571400,4256,222753700,9386237
2020-12-21,491838818800,2398,125767000,9386237
2020-12-22,491838818800,4642,244073000,9386237
2020-12-23,497470561000,7665,404939500,9386237
2020-12-24,502163679500,7225,382698400,9386237
2020-12-28,496531937300,5504,291987900,9386237
2020-12-29,493716066200,5950,313109800,9386237
2020-12-30,494654689900,3089,162232600,9386237
