날짜,시가총액,거래량,거래대금,상장주식수
2020-07-01,58413565000,243439,9828771450,1358455
2020-07-02,41432877500,401225,13524755850,1358455
2020-07-03,36338671250,232654,6304390600,1358455
2020-07-06,37289589750,154843,4176551150,1358455
2020-07-07,34504757000,279637,7366999600,1358455
2020-07-08,40481959000,1629287,48698862500,1358455
2020-07-09,42655487000,1359807,43938950600,1358455
2020-07-10,38987658500,291714,8790910000,1358455
2020-07-13,39259349500,191037,5649749050,1358455
2020-07-14,39191426750,203275,5909201400,1358455
2020-07-15,37900894500,99091,2787507750,1358455
2020-07-16,37017898750,96795,2686534750,1358455
2020-07-17,36949976000,60829,1638868500,1358455
2020-07-20,37493358000,140829,3907902600,1358455
2020-07-21,37357512500,127275,3624999850,1358455
2020-07-22,48564766250,130131,4652183250,1358455
2020-07-23,63100234750,1236059,56644540300,1358455
2020-07-24,63847385000,3287449,167307851950,1358455
2020-07-27,80148845000,931949,53185534000,1358455
2020-07-28,89522184500,985085,65101397600,1358455
2020-07-29,89522184500,0,0,1358455
2020-07-30,81507300000,400576,25094337100,1358455
2020-07-31,73899952000,231945,12947073300,1358455
2020-08-03,71590578500,246583,12811058150,1358455
2020-08-04,72133960500,173949,9267666900,1358455
2020-08-05,70367969000,107274,5613454400,1358455
2020-08-06,69417050500,78905,3977820900,1358455
2020-08-07,69417050500,104637,5301154550,1358455
2020-08-10,90201412000,904166,55721061700,1358455
2020-08-11,95091850000,2265449,167296491500,1358455
2020-08-12,100389824500,604529,45615090500,1358455
2020-08-13,96993687000,227756,16592402800,1358455
2020-08-14,102563352500,595157,47356289000,1358455
2020-08-18,94412622500,176949,12720867700,1358455
2020-08-19,97808760000,257798,18833743600,1358455
2020-08-20,90337257500,126606,8594754800,1358455
2020-08-21,92510785500,214400,14449034300,1358455
2020-08-24,95091850000,103059,7069404600,1358455
2020-08-25,95363541000,122659,8658787500,1358455
2020-08-26,92374940000,92568,6319394300,1358455
2020-08-27,88571266000,83044,5454414500,1358455
2020-08-28,87484502000,72177,4695073900,1358455
2020-08-31,89929721000,219823,14875257400,1358455
2020-09-01,92103249000,202711,13938370400,1358455
2020-09-02,92103249000,67542,4576743900,1358455
2020-09-03,92239094500,58909,3982854100,1358455
2020-09-04,89522184500,45600,2988625800,1358455
2020-09-07,89250493500,47427,3110094700,1358455
2020-09-08,85175128500,64108,4097702400,1358455
2020-09-09,78111162500,127433,7263765500,1358455
2020-09-10,82729909500,59271,3511247400,1358455
2020-09-11,82322373000,48736,2914293400,1358455
2020-09-14,84767592000,57668,3631241200,1358455
2020-09-15,85446819500,35095,2188638500,1358455
2020-09-16,81914836500,35974,2211363100,1358455
2020-09-17,79605463000,20606,1221459300,1358455
2020-09-18,79469617500,22639,1311562000,1358455
2020-09-21,75394252500,41609,2319795700,1358455
2020-09-22,68873668500,60116,3103690200,1358455
2020-09-23,68873668500,38845,1970142550,1358455
2020-09-24,62828543750,42361,2016747550,1358455
2020-09-25,79197926500,540339,30389047650,1358455
2020-09-28,70911351000,146845,7888462300,1358455
2020-09-29,71998115000,112916,6145496500,1358455
