BPS,PER,PBR,EPS,DIV,DPS
50817,8.38,1.33,8057,2.14,1444
50817,8.28,1.31,8057,2.16,1444
50817,8.19,1.3,8057,2.19,1444
50817,8.24,1.31,8057,2.17,1444
50817,8.46,1.34,8057,2.12,1444
50817,8.55,1.36,8057,2.1,1444
50817,8.44,1.34,8057,2.12,1444
50817,8.35,1.32,8057,2.15,1444
50817,8.61,1.37,8057,2.08,1444
50817,8.75,1.39,8057,2.05,1444
50817,8.63,1.37,8057,2.08,1444
50817,8.54,1.35,8057,2.1,1444
50817,8.49,1.35,8057,2.11,1444
50817,8.5,1.35,8057,2.11,1444
50817,8.44,1.34,8057,2.12,1444
50817,8.28,1.31,8057,2.16,1444
50817,8.35,1.32,8057,2.15,1444
50817,8.35,1.32,8057,2.15,1444
50817,8.3,1.32,8057,2.16,1444
