Date,DEXUSUK
2023-01-02,
2023-01-03,1.197
2023-01-04,1.2063
2023-01-05,1.1902
2023-01-06,1.2064
2023-01-09,1.2206
2023-01-10,1.2155
2023-01-11,1.2125
2023-01-12,1.2182
2023-01-13,1.2194
2023-01-16,
2023-01-17,1.2264
2023-01-18,1.2369
2023-01-19,1.2366
2023-01-20,1.2374
2023-01-23,1.237
2023-01-24,1.2323
2023-01-25,1.2374
2023-01-26,1.237
2023-01-27,1.2379
2023-01-30,1.2373
2023-01-31,1.2324
2023-02-01,1.2308
2023-02-02,1.226
2023-02-03,1.2073
2023-02-06,1.2009
2023-02-07,1.2013
2023-02-08,1.2093
2023-02-09,1.2157
2023-02-10,1.2061
2023-02-13,1.2136
2023-02-14,1.2157
2023-02-15,1.2031
2023-02-16,1.2018
2023-02-17,1.2012
2023-02-20,
2023-02-21,1.2111
2023-02-22,1.2064
2023-02-23,1.2016
2023-02-24,1.1948
2023-02-27,1.2036
2023-02-28,1.2093
2023-03-01,1.2034
2023-03-02,1.1942
2023-03-03,1.1996
2023-03-06,1.2048
2023-03-07,1.1857
2023-03-08,1.1837
2023-03-09,1.1922
2023-03-10,1.2043
2023-03-13,1.216
2023-03-14,1.2146
2023-03-15,1.2032
2023-03-16,1.2111
2023-03-17,1.2141
2023-03-20,1.2257
2023-03-21,1.2195
2023-03-22,1.2232
2023-03-23,1.2322
2023-03-24,1.2225
2023-03-27,1.2278
2023-03-28,1.2341
2023-03-29,1.2313
2023-03-30,1.2368
2023-03-31,1.2369
2023-04-03,1.2403
2023-04-04,1.2498
2023-04-05,1.2469
2023-04-06,1.2456
2023-04-07,1.2422
2023-04-10,1.2358
2023-04-11,1.2409
2023-04-12,1.2471
2023-04-13,1.2531
2023-04-14,1.2417
2023-04-17,1.2359
2023-04-18,1.2419
2023-04-19,1.2442
2023-04-20,1.2448
2023-04-21,1.2419
2023-04-24,1.2457
2023-04-25,1.2398
2023-04-26,1.2486
2023-04-27,1.2471
2023-04-28,1.2582
2023-05-01,1.2495
2023-05-02,1.2475
2023-05-03,1.2547
2023-05-04,1.258
2023-05-05,1.265
2023-05-08,1.2633
2023-05-09,1.2618
2023-05-10,1.2614
2023-05-11,1.2501
2023-05-12,1.2464
2023-05-15,1.2526
2023-05-16,1.2494
2023-05-17,1.2475
2023-05-18,1.2424
2023-05-19,1.2464
2023-05-22,1.2425
2023-05-23,1.2423
2023-05-24,1.2368
2023-05-25,1.2325
2023-05-26,1.2342
2023-05-29,
2023-05-30,1.2403
2023-05-31,1.2396
2023-06-01,1.2536
2023-06-02,1.2468
2023-06-05,1.244
2023-06-06,1.2418
2023-06-07,1.2451
2023-06-08,1.2547
2023-06-09,1.2579
2023-06-12,1.2489
2023-06-13,1.2611
2023-06-14,1.2696
2023-06-15,1.2762
2023-06-16,1.2815
2023-06-19,
2023-06-20,1.2732
2023-06-21,1.2737
2023-06-22,1.275
2023-06-23,1.2701
2023-06-26,1.2724
2023-06-27,1.2752
2023-06-28,1.2637
2023-06-29,1.2617
2023-06-30,1.2709
2023-07-03,1.2695
2023-07-04,
2023-07-05,1.271
2023-07-06,1.2721
2023-07-07,1.2838
2023-07-10,1.2837
2023-07-11,1.2901
2023-07-12,1.2993
2023-07-13,1.3097
2023-07-14,1.3113
2023-07-17,1.3078
2023-07-18,1.3054
2023-07-19,1.2898
2023-07-20,1.2849
2023-07-21,1.2854
2023-07-24,1.2828
2023-07-25,1.2876
2023-07-26,1.293
2023-07-27,1.287
2023-07-28,1.287
2023-07-31,1.2857
2023-08-01,1.275
2023-08-02,1.2712
2023-08-03,1.2709
2023-08-04,1.2775
2023-08-07,1.2769
2023-08-08,1.2729
2023-08-09,1.2715
2023-08-10,1.2726
2023-08-11,1.2694
2023-08-14,1.2691
2023-08-15,1.2745
2023-08-16,1.2749
2023-08-17,1.2753
2023-08-18,1.2738
2023-08-21,1.2737
2023-08-22,1.2733
2023-08-23,1.2715
2023-08-24,1.2634
2023-08-25,1.257
2023-08-28,1.2592
2023-08-29,1.2614
2023-08-30,1.2726
2023-08-31,1.2667
2023-09-01,1.2594
2023-09-04,
2023-09-05,1.2583
2023-09-06,1.2498
2023-09-07,1.2485
2023-09-08,1.2476
2023-09-11,1.2529
2023-09-12,1.2477
2023-09-13,1.2488
2023-09-14,1.241
2023-09-15,1.2392
2023-09-18,1.2403
2023-09-19,1.2393
2023-09-20,1.2389
2023-09-21,1.2299
2023-09-22,1.2257
2023-09-25,1.2218
2023-09-26,1.2168
2023-09-27,1.2133
2023-09-28,1.2223
2023-09-29,1.2214
2023-10-02,1.213
2023-10-03,1.2069
2023-10-04,1.2157
2023-10-05,1.2171
