news_title,news_category,news_date
"오전 10:00 현재 코스피는 50:50으로 보합세, 매도강세 업종은 전기가스업(3.42%↑)",증권News봇,2020.03.24
"<유>두산퓨얼셀2우B, 전일 대비 29.98% 상승.. 일일회전율은 4.29% 기록",증권News봇,2020.03.24
"<유>두산퓨얼셀2우B, 29.98% 오르며 체결강도 강세 지속(180%)",증권News봇,2020.03.24
"<유>두산퓨얼셀2우B, 상한가 진입.. +29.98% ↑",증권News봇,2020.03.24
"<유>두산솔루스2우B, 상한가 진입.. +29.77% ↑",증권News봇,2020.03.24
"<유>LG이노텍, 상한가 진입.. +29.88% ↑",증권News봇,2020.03.20
"<유>두산퓨얼셀2우B, 매수잔량 375% 급증",증권News봇,2020.03.20
"<유>두산퓨얼셀2우B, 전일 대비 24.54% 상승.. 일일회전율은 3.35% 기록",증권News봇,2020.03.20
"<유>두산솔루스2우B, 상한가 진입.. +29.78% ↑",증권News봇,2020.03.20
기업공시[3월 11일],증권종목·투자전략,2020.03.12
장 중 기업공시[3월 11일],증권,2020.03.11
"<유>두산퓨얼셀2우B, 5.26% 오르며 체결강도 강세 지속(155%)",증권News봇,2020.02.20
"<유>두산퓨얼셀2우B, 3.47% 오르며 체결강도 강세 지속(134%)",증권News봇,2020.02.11
"<유>두산퓨얼셀2우B, 전일 대비 10.29% 상승.. 일일회전율은 3.70% 기록",증권News봇,2020.01.30
기업공시[1월 20일],증권종목·투자전략,2020.01.21
"<유>두산퓨얼셀2우B, 전일 대비 7.34% 상승.. 일일회전율은 4.80% 기록",증권News봇,2020.01.14
"<유>두산퓨얼셀2우B, 5.50% 오르며 체결강도 강세 지속(116%)",증권News봇,2020.01.14
"<유>두산퓨얼셀2우B, 4.55% 오르며 체결강도 강세 지속(160%)",증권News봇,2020.01.10
"오전 11:00 현재 코스피는 45:55으로 매수우위, 매수강세 업종은 운수창고업(3.09%↓)",증권News봇,2020.01.08
"오전 10:30 현재 코스피는 45:55으로 매수우위, 매수강세 업종은 운수창고업(3.26%↓)",증권News봇,2020.01.08
