Date,DEXCHUS
2023-01-02,
2023-01-03,6.9135
2023-01-04,6.8875
2023-01-05,6.88
2023-01-06,6.837
2023-01-09,6.77
2023-01-10,6.777
2023-01-11,6.77
2023-01-12,6.7365
2023-01-13,6.701
2023-01-16,
2023-01-17,6.7723
2023-01-18,6.7534
2023-01-19,6.7738
2023-01-20,6.7825
2023-01-23,6.7899
2023-01-24,6.7899
2023-01-25,6.7899
2023-01-26,6.7899
2023-01-27,6.7899
2023-01-30,6.7501
2023-01-31,6.754
2023-02-01,6.7406
2023-02-02,6.7266
2023-02-03,6.7733
2023-02-06,6.7918
2023-02-07,6.791
2023-02-08,6.789
2023-02-09,6.7782
2023-02-10,6.8106
2023-02-13,6.8198
2023-02-14,6.8255
2023-02-15,6.851
2023-02-16,6.859
2023-02-17,6.8661
2023-02-20,
2023-02-21,6.87
2023-02-22,6.8908
2023-02-23,6.9075
2023-02-24,6.9545
2023-02-27,6.945
2023-02-28,6.9325
2023-03-01,6.8656
2023-03-02,6.9122
2023-03-03,6.9048
2023-03-06,6.9295
2023-03-07,6.9605
2023-03-08,6.9496
2023-03-09,6.963
2023-03-10,6.9025
2023-03-13,6.8455
2023-03-14,6.868
2023-03-15,6.9005
2023-03-16,6.8965
2023-03-17,6.887
2023-03-20,6.877
2023-03-21,6.883
2023-03-22,6.8802
2023-03-23,6.8188
2023-03-24,6.8675
2023-03-27,6.8834
2023-03-28,6.8725
2023-03-29,6.8862
2023-03-30,6.87
2023-03-31,6.8676
2023-04-03,6.8776
2023-04-04,6.878
2023-04-05,6.8781
2023-04-06,6.875
2023-04-07,6.875
2023-04-10,6.8807
2023-04-11,6.8866
2023-04-12,6.873
2023-04-13,6.8677
2023-04-14,6.869
2023-04-17,6.8786
2023-04-18,6.8755
2023-04-19,6.8851
2023-04-20,6.8725
2023-04-21,6.892
2023-04-24,6.8958
2023-04-25,6.932
2023-04-26,6.9261
2023-04-27,6.922
2023-04-28,6.911
2023-05-01,6.9164
2023-05-02,6.9164
2023-05-03,6.9164
2023-05-04,6.9094
2023-05-05,6.9101
2023-05-08,6.9125
2023-05-09,6.9201
2023-05-10,6.9321
2023-05-11,6.948
2023-05-12,6.9575
2023-05-15,6.952
2023-05-16,6.9751
2023-05-17,6.9981
2023-05-18,7.0355
2023-05-19,7.006
2023-05-22,7.0351
2023-05-23,7.049
2023-05-24,7.0585
2023-05-25,7.0775
2023-05-26,7.063
2023-05-29,
2023-05-30,7.0792
2023-05-31,7.11
2023-06-01,7.0934
2023-06-02,7.0827
2023-06-05,7.105
2023-06-06,7.119
2023-06-07,7.1287
2023-06-08,7.1109
2023-06-09,7.1273
2023-06-12,7.1437
2023-06-13,7.1585
2023-06-14,7.148
2023-06-15,7.13
2023-06-16,7.125
2023-06-19,
2023-06-20,7.1811
2023-06-21,7.1779
2023-06-22,7.1777
2023-06-23,7.1777
2023-06-26,7.2364
2023-06-27,7.2193
2023-06-28,7.2436
2023-06-29,7.2515
2023-06-30,7.2513
2023-07-03,7.24
2023-07-04,
2023-07-05,7.2465
2023-07-06,7.25
2023-07-07,7.2205
2023-07-10,7.2315
2023-07-11,7.209
2023-07-12,7.1656
2023-07-13,7.15
2023-07-14,7.1403
2023-07-17,7.1711
2023-07-18,7.1786
2023-07-19,7.226
2023-07-20,7.1761
2023-07-21,7.1861
2023-07-24,7.1855
2023-07-25,7.134
2023-07-26,7.1503
2023-07-27,7.173
2023-07-28,7.1488
