news_title,news_category,news_date
"삼성증권, 온라인 우수 고객에 맞춤형 서비스",증권국내증시,2022.09.27
"이재용, 삼성 사장단 40명과 오찬…'뉴삼성' 회장 취임 임박했나",산업,2022.09.27
"삼성증권, 우수 모바일 고객 위한 프리미엄 서비스 시작",증권국내증시,2022.09.26
'2조 몸값' 더블유씨피 청약 경쟁률 7 대1 '부진',증권IB&Deal,2022.09.21
"삼성증권 ""모바일 해외채권 판매 60억원 돌파""",증권국내증시,2022.09.20
IPO 흥행 '잔혹사'…공모주 외면 심화,증권IB&Deal,2022.09.16
"""물가發 변동성 지속…2400 내외 박스권 이어질것""",증권국내증시,2022.09.14
오픈엣지 수요예측 참패…성장주 'IPO 부진' 지속,증권IB&Deal,2022.09.14
"""하나투어 목표가 7만→7.5만원…점유율 확대 가능성 가장 높아""",경제·금융경제·금융일반,2022.09.14
"[SEN]삼성證 “하나투어, 일본여행 강자…목표주가↑”",증권국내증시,2022.09.14
"<유>삼성증권, 3.51% 오르며 체결강도 강세 지속(135%)",증권News봇,2022.09.13
"<유>삼성증권, 3.66% 오르며 체결강도 강세 지속(149%)",증권News봇,2022.09.13
"<유>삼성증권, 3.05% 오르며 체결강도 강세 지속(135%)",증권News봇,2022.09.13
"“한미약품, ‘랩스커버리’ 기술 첫 FDA 신약 승인…투심 회복 기대” [Why 바이오]",증권국내증시,2022.09.13
[이번주 추천주] 실적개선 현대모비스·신한지주 등 주목,경제·금융경제·금융일반,2022.09.13
"오픈엣지 ""동종업체 대비 공모가 보수적 책정""",증권IB&Deal,2022.09.07
"삼성, 하반기 공채 스타트…""20% 더 뽑는다"" [뒷북비즈]",산업기업,2022.09.07
"'20% 더 뽑는다'…5대 그룹 유일, 삼성 하반기 공채 시작",산업,2022.09.06
"[SEN]삼성證, 추석연휴 ‘美 주식 낮거래 서비스’ 제공",증권국내증시,2022.09.05
자산가들이 쿠폰 금리 낮은 채권에 몰리는 이유는?,증권재테크,2022.09.01
"강북·일산 등 지점 6곳 통합…삼성證,초대형 금융센터 10월 문연다",증권재테크,2022.08.29
"[SEN]삼성證 미국주식 주간거래, 누적거래금액 2조원 돌파",증권국내증시,2022.08.23
"미래에셋·삼성證, 13년 만의 공기업 상장 주관",증권IB&Deal,2022.08.23
메리츠·현대차증권 '현금IC카드' 완전히 접었다,경제·금융경제·금융일반,2022.08.22
"퓨처플레이, 삼성증권과 143억 ‘유니콘 펀드’ 결성…서울로보틱스 50억 투자",산업기업,2022.08.22
과세 가이드라인 하세월…소수점 거래 9월 시행 못하나,증권증권일반,2022.08.19
"[SEN]삼성證, 온라인 ETF·ETN 거래 이벤트…“하와이 가자”",증권국내증시,2022.08.18
"한국투자공사, 이훈 신임 CIO 선임",증권IB&Deal,2022.08.17
"1억 넣은 은퇴자, 매달 30만원 받는다…'1000억 완판' 뭐길래",증권국내증시,2022.08.16
"삼성증권, 월급처럼 매달 이자받는 월이자지급식 채권 '열풍'",증권재테크,2022.08.16
"[SEN]삼성證, 해외주식 투자지원금 이벤트 진행…최대 100달러 증정",증권국내증시,2022.08.12
[특징주] 적자늪에 빠진 넷마블…주가 6%대 ‘뚝’,증권국내증시,2022.08.12
"쏘카, 일반 청약도 흥행 '참패'",증권IB&Deal,2022.08.11
"쏘카, 청약 첫날 경쟁률 3.33대 1로 부진",증권IB&Deal,2022.08.11
쏘카의 부진…더 멀어진 마켓컬리 상장,증권IB&Deal,2022.08.10
"쏘카, 공모가 2.8만 원 확정…시총 9000억대로",증권IB&Deal,2022.08.09
"쏘카, 공모가 2.8만 원 확정…시총 9000억대로",증권IB&Deal,2022.08.09
[이번주 추천주] 셀트리온·대웅제약 등 호실적 바이오株 주목,증권국내증시,2022.08.08
장 마감 후 기업공시[8월 4일],경제·금융경제·금융일반,2022.08.04
"삼성증권, 채권 유튜브 콘텐츠 방송 ‘채권라커’ 선보인다",증권증권일반,2022.08.04
'불황 예감?'…IPO시장 줄줄이 떠나는 대어들,증권IB&Deal,2022.08.03
코스피 2400선 뚫을까…악재 해소 기대감 솔솔 [이번주 증시전망],경제·금융경제·금융일반,2022.07.25
오일뱅크 불똥 튄 수산인더스트리 IPO 흥행 '참패',증권IB&Deal,2022.07.22
"<유>삼성증권, 4.30% 오르며 체결강도 강세 지속(439%)",증권News봇,2022.07.20
"수산인더스트리, 수요예측 경쟁률 130대 1 '부진'",증권IB&Deal,2022.07.19
바이오벤처 'IPO 잔혹사' 진행형,증권IB&Deal,2022.07.18
"<유>삼성증권, 3.19% 오르며 체결강도 강세 지속(231%)",증권News봇,2022.07.18
코스피 6개월 공백 채울 새 상장 기업은?,증권IB&Deal,2022.07.17
"삼성증권 ""지금은 채권시대""…연 4% 특판 27분만에 '완판'",증권채권,2022.07.17
"<유>삼성증권, 장중 신저가 기록.. 31,200→30,350(▼850)",증권News봇,2022.07.15
"'2269.7 대 1'…성일하이텍, IPO 역사 새로 썼다",증권IB&Deal,2022.07.14
몸값 3조대 WCP 상장…'텐버거' 챙길 투자가들 줄섰다,증권해외증시,2022.07.14
"<유>삼성증권, 장중 신저가 기록.. 33,000→31,900(▼1,100)",증권News봇,2022.07.12
"쏘카, '3조 대어' WCP와 IPO 충돌 피한다",증권IB&Deal,2022.07.11
"성일하이텍 ""2025년까지 매출 5000억 달성""",증권IB&Deal,2022.07.08
"""SKT 다음달 MSCI지수서 빠질 듯""",경제·금융경제·금융일반,2022.07.07
"<유>삼성증권, 장중 신저가 기록.. 33,300→33,150(▼150)",증권News봇,2022.07.06
"[SEN]삼성證, 유튜브 라이브 확대…고민많은 투자자 지원 나서",증권국내증시,2022.07.05
"삼성증권, '리서치 포 유 라이브' 유튜브 방송 확대 개편",증권국내증시,2022.07.05
