Date,LRHUTTTTEZM156S
2021-01-01,8.2
2021-02-01,8.2
2021-03-01,8.2
2021-04-01,8.2
2021-05-01,8.0
2021-06-01,7.8
2021-07-01,7.7
2021-08-01,7.5
2021-09-01,7.4
2021-10-01,7.3
2021-11-01,7.1
2021-12-01,7.0
