Date,CHNCPIALLMINMEI
2023-01-01,116.0079
2023-02-01,115.4502
2023-03-01,115.1156
2023-04-01,114.8925
2023-05-01,114.7809
2023-06-01,114.5578
2023-07-01,114.7809
2023-08-01,115.1156
2023-09-01,115.3387
2023-10-01,115.2271
2023-11-01,114.6694
2023-12-01,114.7809
