날짜,시가총액,거래량,거래대금,상장주식수
2023-07-03,249533692500,362,144428500,624615
2023-07-04,250470615000,124,49464500,624615
2023-07-05,245786002500,579,228921000,624615
2023-07-06,246722925000,898,351604000,624615
2023-07-07,249846000000,502,199802500,624615
2023-07-10,251095230000,105,42338500,624615
2023-07-11,252032152500,62,25034000,624615
2023-07-12,254218305000,47,19088000,624615
2023-07-13,256716765000,111,45654500,624615
2023-07-14,261089070000,290,120366500,624615
2023-07-17,267022912500,163,68922500,624615
2023-07-18,264524452500,132,56467000,624615
2023-07-19,264524452500,211,89516000,624615
2023-07-20,259527532500,114,47364000,624615
2023-07-21,259527532500,160,66615500,624615
2023-07-24,259839840000,278,115163500,624615
2023-07-25,260152147500,387,163070000,624615
2023-07-26,260152147500,225,93448500,624615
2023-07-27,259839840000,151,63067000,624615
2023-07-28,259839840000,55,22906500,624615
2023-07-31,261089070000,76,31655000,624615
2023-08-01,262650607500,185,77666000,624615
2023-08-02,260152147500,63,26343500,624615
2023-08-03,258590610000,174,72115000,624615
2023-08-04,267335220000,248,104660500,624615
2023-08-07,267959835000,122,52256500,624615
2023-08-08,267022912500,31,13098000,624615
2023-08-09,267022912500,13,5532500,624615
2023-08-10,266398297500,101,42497000,624615
2023-08-11,265773682500,76,32125000,624615
2023-08-14,265773682500,48,20210500,624615
2023-08-16,258590610000,67,27697000,624615
2023-08-17,259839840000,271,109898000,624615
2023-08-18,253593690000,99,40141500,624615
2023-08-21,256092150000,44,17942000,624615
2023-08-22,257029072500,64,26200000,624615
2023-08-23,257653687500,48,19744500,624615
2023-08-24,260776762500,39,16137500,624615
2023-08-25,261401377500,54,22366000,624615
2023-08-28,257653687500,42,17364500,624615
2023-08-29,263275222500,27,11381000,624615
2023-08-30,260776762500,35,14654000,624615
2023-08-31,259527532500,15,6235000,624615
2023-09-01,261713685000,30,12519500,624615
2023-09-04,250158307500,558,225073500,624615
2023-09-05,251719845000,153,61583500,624615
2023-09-06,253593690000,84,34150500,624615
2023-09-07,252969075000,24,9725500,624615
2023-09-08,251407537500,63,25333500,624615
2023-09-11,250158307500,55,22049000,624615
2023-09-12,249221385000,40,16045000,624615
2023-09-13,248596770000,50,20052500,624615
2023-09-14,250782922500,84,33551000,624615
2023-09-15,251095230000,35,13987500,624615
2023-09-18,251407537500,62,24931500,624615
2023-09-19,251407537500,31,12449000,624615
2023-09-20,249533692500,11,4405000,624615
2023-09-21,248909077500,412,165777500,624615
2023-09-22,249846000000,14,5577000,624615
2023-09-25,249846000000,29,11614000,624615
2023-09-26,241101390000,416,161719500,624615
2023-09-27,236729085000,342,129116500,624615
