news_title,news_category,news_date
장 마감 후 기업공시 [6월29일],경제·금융경제·금융일반,2022.06.29
장 마감 후 기업공시 [6월 16일],증권국내증시,2022.06.16
"<유>대유에이텍, 장중 신저가 기록.. 1,015→1,010(▼5)",증권News봇,2022.06.13
"[기업공시 5월 25일]바이젠셀, 1주당 1주 배정 무상증자 결정등",증권국내증시,2022.05.26
장마감 후 기업공시[5월 25일],증권국내증시,2022.05.25
"<유>대유에이텍, 전일 대비 11.06% 상승.. 일일회전율은 1.37% 기록",증권News봇,2022.05.24
"<유>대유에이텍, 4.81% 오르며 체결강도 강세 지속(186%)",증권News봇,2022.05.24
"<유>대유에이텍, 3.35% 오르며 체결강도 강세 지속(347%)",증권News봇,2022.05.13
"[기업공시 4월 27일]솔루스첨단소재, 프랑스 ACC사와 1940억 규모 전지박 공급계약 체결 등",증권국내증시,2022.04.28
장 마감 후 기업공시[4월 27일],증권국내증시,2022.04.27
