rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_nm,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 8 기 반기말,3410965414000,제 7 기말,3296953373000,7,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 8 기 반기말,2222535067000,제 7 기말,2199162255000,8,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 8 기 반기말,343656587000,제 7 기말,427663865000,9,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialAssets,유동 파생상품 금융자산,-,제 8 기 반기말,877210000,제 7 기말,15186084000,10,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_CurrentFinancialAssets,유동 금융자산,-,제 8 기 반기말,47519544000,제 7 기말,30945844000,11,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 8 기 반기말,15942415000,제 7 기말,14758264000,12,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_Inventories,유동재고자산,-,제 8 기 반기말,1095925365000,제 7 기말,1059081536000,13,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 8 기 반기말,72049834000,제 7 기말,70002967000,14,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 8 기 반기말,646564112000,제 7 기말,581523695000,15,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 8 기 반기말,1188430347000,제 7 기말,1097791118000,16,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,-표준계정코드 미사용-,확정급여자산,-,제 8 기 반기말,10039534000,제 7 기말,12691583000,17,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 8 기 반기말,59115345000,제 7 기말,57066946000,18,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산 및 영업권,-,제 8 기 반기말,97968404000,제 7 기말,92682802000,19,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 8 기 반기말,151550000,제 7 기말,225747000,20,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 8 기 반기말,1499201000,제 7 기말,1462007000,21,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_NoncurrentFinancialAssets,비유동금융자산,-,제 8 기 반기말,2643948000,제 7 기말,426997000,22,KRW,,,,,,,연결
20240814002722,11012,2024,01205842,BS,재무상태표,ifrs-full_NoncurrentReceivables,매출채권 및 기타비유동채권,-,제 8 기 반기말,52409744000,제 7 기말,53658637000,23,KRW,,,,,,,연결
