Date,IR3TIB01GBM156N
2023-01-01,4.01
2023-02-01,4.21
2023-03-01,4.33
2023-04-01,4.52
2023-05-01,4.73
2023-06-01,5.09
2023-07-01,5.49
2023-08-01,5.53
2023-09-01,5.52
2023-10-01,5.4
2023-11-01,5.36
2023-12-01,5.34
